player,nation,pos,age,mp,starts,min,90s,gls,ast,g+a,g-pk,pk,pkatt,crdy,crdr,gls.1,ast.1,g+a.1,g-pk.1,g+a-pk,matches,team_name,season,team_id
Morato,br BRA,MF,26.0,23,16,1322.0,14.7,6.0,3.0,9.0,6.0,0.0,0.0,3.0,0.0,0.41,0.2,0.61,0.41,0.61,Matches,bragantino,2019,tApdq2ZJfbra
Matheus Peixoto,br BRA,FW,23.0,24,15,1263.0,14.0,6.0,0.0,6.0,5.0,1.0,1.0,0.0,0.0,0.43,0.0,0.43,0.36,0.36,Matches,bragantino,2019,tApdq2ZJfbra
Bruno Tubarão,br BRA,MF,23.0,28,12,1312.0,14.6,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,0.21,0.07,0.27,0.21,0.27,Matches,bragantino,2019,tApdq2ZJfbra
Rayan,br BRA,DF,29.0,14,12,1144.0,12.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,bragantino,2019,tApdq2ZJfbra
Ricardo,br BRA,MF,24.0,17,11,1050.0,11.7,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,0.26,0.09,0.34,0.26,0.34,Matches,bragantino,2019,tApdq2ZJfbra
Thiago Ribeiro,br BRA,"FW,MF",32.0,20,9,839.0,9.3,5.0,2.0,7.0,5.0,0.0,0.0,1.0,0.0,0.54,0.21,0.75,0.54,0.75,Matches,bragantino,2019,tApdq2ZJfbra
Roberson,br BRA,"FW,MF",29.0,15,6,548.0,6.1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.16,0.0,0.16,0.16,0.16,Matches,bragantino,2019,tApdq2ZJfbra
Pedrinho,br BRA,"MF,DF",21.0,11,6,532.0,5.9,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.17,0.0,0.17,0.17,0.17,Matches,bragantino,2019,tApdq2ZJfbra
Pio,br BRA,"DF,MF",31.0,12,5,490.0,5.4,1.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,0.18,0.0,0.18,0.0,0.0,Matches,bragantino,2019,tApdq2ZJfbra
Anderson Marques,br BRA,DF,35.0,5,4,334.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,bragantino,2019,tApdq2ZJfbra
Robinho,br BRA,"MF,FW",20.0,12,3,377.0,4.2,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.24,0.24,0.48,0.24,0.48,Matches,bragantino,2019,tApdq2ZJfbra
Lucas Ramon,br BRA,DF,24.0,3,3,270.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.33,Matches,bragantino,2019,tApdq2ZJfbra
Vitinho,br BRA,FW,20.0,9,2,242.0,2.7,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.37,0.37,0.0,0.37,Matches,bragantino,2019,tApdq2ZJfbra
Gabriel Baralhas,br BRA,MF,20.0,3,2,181.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,bragantino,2019,tApdq2ZJfbra
Osman Júnior,br BRA,MF,26.0,2,2,180.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,Matches,bragantino,2019,tApdq2ZJfbra
Rayne,br BRA,DF,22.0,3,1,92.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,bragantino,2019,tApdq2ZJfbra
Kewin,br BRA,GK,23.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,bragantino,2019,tApdq2ZJfbra
Alex Alves de Lima,br BRA,GK,32.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,bragantino,2019,tApdq2ZJfbra
Vitinho,br BRA,DF,28.0,3,0,62.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,bragantino,2019,tApdq2ZJfbra
Rodrigo Luiz Angelotti,br BRA,"FW,MF",20.0,1,0,21.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,bragantino,2019,tApdq2ZJfbra
Luis Phelipe,br BRA,MF,17.0,2,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,bragantino,2019,tApdq2ZJfbra
Dheimison,br BRA,GK,29.0,0,0,,,,,,,,,,,,,,,,Matches,bragantino,2019,tApdq2ZJfbra
Romário,br BRA,DF,26.0,0,0,,,,,,,,,,,,,,,,Matches,bragantino,2019,tApdq2ZJfbra
Rafael Thyere,br BRA,DF,25.0,36,36,3197.0,35.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sport_recife,2019,p-AWCjKMTspo
Guilherme,br BRA,MF,23.0,35,34,2961.0,32.9,17.0,6.0,23.0,14.0,3.0,3.0,6.0,0.0,0.52,0.18,0.7,0.43,0.61,Matches,sport_recife,2019,p-AWCjKMTspo
Charles Rigon Matos,br BRA,MF,22.0,34,34,2951.0,32.8,2.0,1.0,3.0,2.0,0.0,0.0,8.0,0.0,0.06,0.03,0.09,0.06,0.09,Matches,sport_recife,2019,p-AWCjKMTspo
Norberto,br BRA,DF,28.0,31,31,2687.0,29.9,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,0.03,0.03,0.07,0.03,0.07,Matches,sport_recife,2019,p-AWCjKMTspo
Hernane,br BRA,FW,32.0,32,31,2433.0,27.0,14.0,5.0,19.0,11.0,3.0,4.0,2.0,0.0,0.52,0.18,0.7,0.41,0.59,Matches,sport_recife,2019,p-AWCjKMTspo
Mailson,br BRA,GK,22.0,29,29,2610.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sport_recife,2019,p-AWCjKMTspo
Adryelson,br BRA,DF,20.0,30,29,2532.0,28.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sport_recife,2019,p-AWCjKMTspo
Sander,br BRA,DF,28.0,25,25,2184.0,24.3,2.0,3.0,5.0,2.0,0.0,0.0,3.0,0.0,0.08,0.12,0.21,0.08,0.21,Matches,sport_recife,2019,p-AWCjKMTspo
Leandrinho,br BRA,MF,22.0,28,17,1628.0,18.1,2.0,3.0,5.0,2.0,0.0,0.0,7.0,0.0,0.11,0.17,0.28,0.11,0.28,Matches,sport_recife,2019,p-AWCjKMTspo
Ezequiel,br BRA,MF,20.0,16,15,1281.0,14.2,0.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.28,0.28,0.0,0.28,Matches,sport_recife,2019,p-AWCjKMTspo
Hyuri,br BRA,MF,27.0,21,14,1246.0,13.8,3.0,2.0,5.0,3.0,0.0,1.0,3.0,1.0,0.22,0.14,0.36,0.22,0.36,Matches,sport_recife,2019,p-AWCjKMTspo
Willian Farias,br BRA,MF,29.0,14,13,1200.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sport_recife,2019,p-AWCjKMTspo
Raul Prata,br BRA,DF,31.0,16,11,1137.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sport_recife,2019,p-AWCjKMTspo
João Igor,br BRA,MF,22.0,15,10,817.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sport_recife,2019,p-AWCjKMTspo
Sammir,hr CRO,MF,31.0,12,10,685.0,7.6,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.13,0.0,0.13,0.13,0.13,Matches,sport_recife,2019,p-AWCjKMTspo
Luan Polli,br BRA,GK,25.0,9,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sport_recife,2019,p-AWCjKMTspo
Eder,br BRA,DF,23.0,11,8,776.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,sport_recife,2019,p-AWCjKMTspo
Yago,br BRA,MF,23.0,13,8,742.0,8.2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches,sport_recife,2019,p-AWCjKMTspo
Yan Matheus,br BRA,MF,20.0,16,8,731.0,8.1,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.12,0.25,0.37,0.12,0.37,Matches,sport_recife,2019,p-AWCjKMTspo
Guilherme Lazaroni,br BRA,DF,26.0,7,7,611.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,sport_recife,2019,p-AWCjKMTspo
Élton Rodrigues Brandão,br BRA,FW,33.0,24,6,914.0,10.2,2.0,3.0,5.0,2.0,0.0,0.0,5.0,1.0,0.2,0.3,0.49,0.2,0.49,Matches,sport_recife,2019,p-AWCjKMTspo
Ronaldo Henrique,br BRA,MF,24.0,9,6,586.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,sport_recife,2019,p-AWCjKMTspo
Juninho Piauiense,br BRA,"MF,FW",19.0,12,6,485.0,5.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.19,0.0,0.19,Matches,sport_recife,2019,p-AWCjKMTspo
Marcão Silva,br BRA,MF,28.0,10,6,483.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,sport_recife,2019,p-AWCjKMTspo
Cleberson,br BRA,DF,26.0,8,5,513.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sport_recife,2019,p-AWCjKMTspo
Marquinhos,br BRA,MF,29.0,10,5,351.0,3.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.26,0.0,0.26,0.26,0.26,Matches,sport_recife,2019,p-AWCjKMTspo
Marcinho,br BRA,MF,23.0,10,2,394.0,4.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.23,0.0,0.23,Matches,sport_recife,2019,p-AWCjKMTspo
Pedro Carmona,br BRA,MF,30.0,12,2,391.0,4.3,2.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.46,0.69,1.15,0.46,1.15,Matches,sport_recife,2019,p-AWCjKMTspo
Alisson Farias,br BRA,MF,22.0,1,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sport_recife,2019,p-AWCjKMTspo
Léo Artur,br BRA,"FW,MF",23.0,5,0,139.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sport_recife,2019,p-AWCjKMTspo
Bruno Peres,br BRA,"DF,MF",28.0,1,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sport_recife,2019,p-AWCjKMTspo
Chico,br BRA,DF,20.0,0,0,,,,,,,,,,,,,,,,Matches,sport_recife,2019,p-AWCjKMTspo
Elias,br BRA,DF,19.0,0,0,,,,,,,,,,,,,,,,Matches,sport_recife,2019,p-AWCjKMTspo
Ewerton,br BRA,DF,18.0,0,0,,,,,,,,,,,,,,,,Matches,sport_recife,2019,p-AWCjKMTspo
Felipe Garcia,br BRA,GK,31.0,0,0,,,,,,,,,,,,,,,,Matches,sport_recife,2019,p-AWCjKMTspo
Magrão,br BRA,GK,41.0,0,0,,,,,,,,,,,,,,,,Matches,sport_recife,2019,p-AWCjKMTspo
Kaio Mendes,br BRA,MF,23.0,0,0,,,,,,,,,,,,,,,,Matches,sport_recife,2019,p-AWCjKMTspo
Mikael,br BRA,FW,19.0,0,0,,,,,,,,,,,,,,,,Matches,sport_recife,2019,p-AWCjKMTspo
Renato Oliveira,br BRA,DF,27.0,0,0,,,,,,,,,,,,,,,,Matches,sport_recife,2019,p-AWCjKMTspo
Pablo Pardal,br BRA,MF,19.0,0,0,,,,,,,,,,,,,,,,Matches,sport_recife,2019,p-AWCjKMTspo
Pedrão,br BRA,MF,19.0,0,0,,,,,,,,,,,,,,,,Matches,sport_recife,2019,p-AWCjKMTspo
Alison Silva,br BRA,MF,21.0,0,0,,,,,,,,,,,,,,,,Matches,sport_recife,2019,p-AWCjKMTspo
Thallyson,br BRA,MF,22.0,0,0,,,,,,,,,,,,,,,,Matches,sport_recife,2019,p-AWCjKMTspo
Vicente,br BRA,DF,23.0,0,0,,,,,,,,,,,,,,,,Matches,sport_recife,2019,p-AWCjKMTspo
Rodrigão,br BRA,FW,25.0,33,31,2666.0,29.6,13.0,5.0,18.0,12.0,1.0,3.0,10.0,0.0,0.44,0.17,0.61,0.41,0.57,Matches,coritiba,2019,-h1YOO8kscor
José Sabino,br BRA,DF,22.0,30,30,2700.0,30.0,4.0,0.0,4.0,3.0,1.0,1.0,5.0,0.0,0.13,0.0,0.13,0.1,0.1,Matches,coritiba,2019,-h1YOO8kscor
Juan Alano,br BRA,MF,22.0,33,29,2559.0,28.4,5.0,5.0,10.0,5.0,0.0,0.0,7.0,0.0,0.18,0.18,0.35,0.18,0.35,Matches,coritiba,2019,-h1YOO8kscor
Matheus Sales,br BRA,MF,23.0,30,28,2539.0,28.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,coritiba,2019,-h1YOO8kscor
William Matheus,br BRA,DF,28.0,28,28,2353.0,26.1,2.0,4.0,6.0,2.0,0.0,0.0,1.0,0.0,0.08,0.15,0.23,0.08,0.23,Matches,coritiba,2019,-h1YOO8kscor
Alex Muralha,br BRA,GK,29.0,28,27,2475.0,27.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,coritiba,2019,-h1YOO8kscor
Diogo Mateus,br BRA,DF,25.0,29,27,2376.0,26.4,0.0,4.0,4.0,0.0,0.0,0.0,9.0,1.0,0.0,0.15,0.15,0.0,0.15,Matches,coritiba,2019,-h1YOO8kscor
Giovanni Piccolomo,br BRA,MF,24.0,30,22,1851.0,20.6,2.0,5.0,7.0,2.0,0.0,0.0,7.0,0.0,0.1,0.24,0.34,0.1,0.34,Matches,coritiba,2019,-h1YOO8kscor
Thiago Lopes,br BRA,MF,22.0,26,22,1711.0,19.0,2.0,0.0,2.0,2.0,0.0,0.0,4.0,1.0,0.11,0.0,0.11,0.11,0.11,Matches,coritiba,2019,-h1YOO8kscor
Robson,br BRA,"MF,FW",27.0,21,21,1810.0,20.1,8.0,3.0,11.0,8.0,0.0,0.0,10.0,0.0,0.4,0.15,0.55,0.4,0.55,Matches,coritiba,2019,-h1YOO8kscor
Rafinha,br BRA,"MF,FW",35.0,22,18,1526.0,17.0,2.0,3.0,5.0,2.0,0.0,0.0,10.0,1.0,0.12,0.18,0.29,0.12,0.29,Matches,coritiba,2019,-h1YOO8kscor
Romércio,br BRA,DF,21.0,17,16,1487.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,coritiba,2019,-h1YOO8kscor
Patrick,br BRA,"MF,DF",21.0,17,12,1208.0,13.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches,coritiba,2019,-h1YOO8kscor
Vitor Carvalho,br BRA,MF,21.0,13,10,901.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,coritiba,2019,-h1YOO8kscor
Wilson,br BRA,GK,35.0,10,10,855.0,9.5,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.11,0.0,0.11,0.0,0.0,Matches,coritiba,2019,-h1YOO8kscor
Luiz Henrique,br BRA,MF,19.0,12,9,800.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,coritiba,2019,-h1YOO8kscor
Felipe Mattioni,br BRA,DF,30.0,10,9,739.0,8.2,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.12,0.12,0.0,0.12,Matches,coritiba,2019,-h1YOO8kscor
Walisson Maia,br BRA,DF,27.0,9,9,711.0,7.9,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.13,0.13,0.0,0.13,Matches,coritiba,2019,-h1YOO8kscor
Serginho,br BRA,MF,32.0,11,8,668.0,7.4,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.13,0.0,0.13,0.13,0.13,Matches,coritiba,2019,-h1YOO8kscor
Alan Costa,br BRA,DF,28.0,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,coritiba,2019,-h1YOO8kscor
Nathan Otávio Ribeiro,br BRA,DF,28.0,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,coritiba,2019,-h1YOO8kscor
Igor Jesus,br BRA,FW,17.0,24,6,788.0,8.8,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,0.34,0.11,0.46,0.34,0.46,Matches,coritiba,2019,-h1YOO8kscor
Rafael Lima,br BRA,DF,32.0,8,6,559.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,coritiba,2019,-h1YOO8kscor
Fabiano,br BRA,DF,28.0,8,5,482.0,5.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.19,0.19,0.0,0.19,Matches,coritiba,2019,-h1YOO8kscor
Kelvin,br BRA,MF,25.0,9,5,400.0,4.4,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.23,0.0,0.23,0.23,0.23,Matches,coritiba,2019,-h1YOO8kscor
Welinton Júnior,br BRA,MF,25.0,6,4,416.0,4.6,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.43,0.0,0.43,Matches,coritiba,2019,-h1YOO8kscor
João Vitor,br BRA,MF,30.0,5,4,314.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,coritiba,2019,-h1YOO8kscor
Sávio,br BRA,DF,22.0,3,2,240.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,coritiba,2019,-h1YOO8kscor
Wellissol,br BRA,MF,20.0,10,2,235.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,coritiba,2019,-h1YOO8kscor
Nathan Fogaça,br BRA,MF,19.0,7,1,222.0,2.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.41,0.41,0.0,0.41,Matches,coritiba,2019,-h1YOO8kscor
Thalisson Kelven,br BRA,DF,20.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,coritiba,2019,-h1YOO8kscor
Rafael Martins,br BRA,GK,27.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,coritiba,2019,-h1YOO8kscor
Lucas Tocantins,br BRA,MF,24.0,5,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,coritiba,2019,-h1YOO8kscor
Igor Paixão,br BRA,"FW,MF",18.0,6,0,140.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,coritiba,2019,-h1YOO8kscor
Francisco Arancibia,cl CHI,"FW,MF",22.0,5,0,69.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,coritiba,2019,-h1YOO8kscor
Elyeser,br BRA,MF,28.0,2,0,67.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,coritiba,2019,-h1YOO8kscor
Wanderly,br BRA,FW,30.0,4,0,65.0,0.7,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.77,0.0,2.77,2.77,2.77,Matches,coritiba,2019,-h1YOO8kscor
Matheus Bueno,br BRA,MF,20.0,2,0,33.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,coritiba,2019,-h1YOO8kscor
Júlio Rusch,br BRA,MF,21.0,1,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,coritiba,2019,-h1YOO8kscor
Iago Dias,br BRA,"FW,MF",25.0,1,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,coritiba,2019,-h1YOO8kscor
Arthur,br BRA,GK,22.0,0,0,,,,,,,,,,,,,,,,Matches,coritiba,2019,-h1YOO8kscor
Léo Cereja,br BRA,MF,21.0,0,0,,,,,,,,,,,,,,,,Matches,coritiba,2019,-h1YOO8kscor
Pablo Thomaz,br BRA,FW,19.0,0,0,,,,,,,,,,,,,,,,Matches,coritiba,2019,-h1YOO8kscor
Maurício Kozlinski,br BRA,GK,27.0,37,37,3330.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,atletico_goianiense,2019,2-gejgcYxatl
Mike,br BRA,MF,25.0,36,36,3102.0,34.5,12.0,6.0,18.0,10.0,2.0,4.0,7.0,0.0,0.35,0.17,0.52,0.29,0.46,Matches,atletico_goianiense,2019,2-gejgcYxatl
Nicolas,br BRA,DF,21.0,35,35,3130.0,34.8,2.0,2.0,4.0,2.0,0.0,1.0,6.0,0.0,0.06,0.06,0.12,0.06,0.12,Matches,atletico_goianiense,2019,2-gejgcYxatl
Gilvan,br BRA,DF,29.0,33,33,2913.0,32.4,2.0,1.0,3.0,2.0,0.0,0.0,13.0,0.0,0.06,0.03,0.09,0.06,0.09,Matches,atletico_goianiense,2019,2-gejgcYxatl
Moacir,br BRA,MF,32.0,31,31,2560.0,28.4,1.0,2.0,3.0,1.0,0.0,0.0,7.0,0.0,0.04,0.07,0.11,0.04,0.11,Matches,atletico_goianiense,2019,2-gejgcYxatl
Jorginho,br BRA,MF,28.0,28,28,2435.0,27.1,3.0,3.0,6.0,3.0,0.0,0.0,6.0,0.0,0.11,0.11,0.22,0.11,0.22,Matches,atletico_goianiense,2019,2-gejgcYxatl
Pedro Raul,br BRA,FW,22.0,35,28,2325.0,25.8,8.0,2.0,10.0,8.0,0.0,1.0,2.0,0.0,0.31,0.08,0.39,0.31,0.39,Matches,atletico_goianiense,2019,2-gejgcYxatl
Jonathan,br BRA,DF,26.0,27,27,2388.0,26.5,1.0,3.0,4.0,1.0,0.0,0.0,7.0,0.0,0.04,0.11,0.15,0.04,0.15,Matches,atletico_goianiense,2019,2-gejgcYxatl
Lucas Oliveira,br BRA,DF,22.0,25,23,2110.0,23.4,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,atletico_goianiense,2019,2-gejgcYxatl
André Castro,br BRA,MF,27.0,23,22,1812.0,20.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,atletico_goianiense,2019,2-gejgcYxatl
Matheus Cotulio Bossa,br BRA,MF,25.0,29,21,1896.0,21.1,2.0,6.0,8.0,2.0,0.0,0.0,3.0,1.0,0.09,0.28,0.38,0.09,0.38,Matches,atletico_goianiense,2019,2-gejgcYxatl
Lucas Rocha,br BRA,DF,23.0,21,20,1817.0,20.2,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches,atletico_goianiense,2019,2-gejgcYxatl
Reginaldo,br BRA,"DF,MF",25.0,24,19,1736.0,19.3,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,0.05,0.1,0.16,0.05,0.16,Matches,atletico_goianiense,2019,2-gejgcYxatl
