Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,season,league_name,league_id,team_name,Sh,SoT,SoT%,G/Sh,G/SoT,Dist
2018-08-12,19:00,Série A,Matchweek 18,Sun,Home,W,1,0,Vasco da Gama,56.0,30012.0,Bruno Henrique,4-2-3-1,4-2-3-1,Wilton Sampaio,Match Report,,2018,brasileirao,24,2018 Palmeiras,11,5,45.5,0.09,0.2,
2018-08-19,16:00,Série A,Matchweek 19,Sun,Away,W,3,0,Vitória,47.0,8822.0,Bruno Henrique,4-2-3-1,4-1-4-1,Rodrigo Batista Raposo,Match Report,,2018,brasileirao,24,2018 Palmeiras,26,12,46.2,0.12,0.25,
2018-08-22,21:00,Série A,Matchweek 20,Wed,Home,W,2,0,Botafogo (RJ),69.0,24882.0,Bruno Henrique,4-1-4-1,4-1-4-1,Anderson Daronco,Match Report,,2018,brasileirao,24,2018 Palmeiras,22,6,27.3,0.09,0.33,
2018-08-26,16:00,Série A,Matchweek 21,Sun,Away,D,0,0,Internacional,43.0,40125.0,Moisés Magalhães,4-2-3-1,4-2-3-1,Bruno Arleu de Araujo,Match Report,,2018,brasileirao,24,2018 Palmeiras,20,3,15.0,0.0,0.0,
2018-08-30,21:45,Libertadores,Round of 16,Thu,Home,L,0,1,py Cerro Porteño,26.0,,Dudu,4-2-3-1,4-2-3-1,Germán Delfino,Match Report,Leg 2 of 2; Palmeiras won,2018,brasileirao,24,2018 Palmeiras,6,3,50.0,0.0,0.0,
2018-09-02,19:00,Série A,Matchweek 22,Sun,Away,W,2,1,Chapecoense,44.0,4546.0,Luan Garcia,4-2-3-1,4-2-3-1,Ricardo Marques Ribeiro,Match Report,,2018,brasileirao,24,2018 Palmeiras,12,5,41.7,0.17,0.4,
2018-09-05,21:00,Série A,Matchweek 23,Wed,Home,W,2,0,Ath Paranaense,47.0,24601.0,Edu Dracena,4-2-3-1,4-2-3-1,Marcelo de Lima Henrique,Match Report,,2018,brasileirao,24,2018 Palmeiras,10,4,40.0,0.1,0.25,
2018-09-09,16:00,Série A,Matchweek 24,Sun,Home,W,1,0,Corinthians,54.0,38568.0,Luan Garcia,4-2-3-1,4-2-3-1,Jean Pierre Goncalves Lima,Match Report,,2018,brasileirao,24,2018 Palmeiras,13,3,23.1,0.08,0.33,
2018-09-16,16:00,Série A,Matchweek 25,Sun,Away,D,1,1,Bahia,58.0,24495.0,Bruno Henrique,4-4-1-1,4-2-3-1,Heber Roberto Lopes,Match Report,,2018,brasileirao,24,2018 Palmeiras,7,1,14.3,0.14,1.0,
2018-09-20,21:45,Libertadores,Quarter-finals,Thu,Away,W,2,0,cl Colo-Colo,38.0,,Bruno Henrique,4-2-3-1,3-4-1-2,Andrés Cunha,Match Report,Leg 1 of 2,2018,brasileirao,24,2018 Palmeiras,9,5,55.6,0.22,0.4,
2018-09-23,18:00,Série A,Matchweek 26,Sun,Away,W,1,0,Sport Recife,48.0,18681.0,Luan Garcia,4-2-3-1,4-2-3-1,Paulo Roberto Alves Júnior,Match Report,,2018,brasileirao,24,2018 Palmeiras,9,4,44.4,0.11,0.25,
2018-09-30,11:00,Série A,Matchweek 27,Sun,Home,W,3,1,Cruzeiro,45.0,35674.0,Bruno Henrique,4-2-3-1,4-2-3-1,Dewson Fernando Freitas da Silva,Match Report,,2018,brasileirao,24,2018 Palmeiras,15,3,20.0,0.13,0.67,
2018-10-03,21:45,Libertadores,Quarter-finals,Wed,Home,W,2,0,cl Colo-Colo,41.0,,Bruno Henrique,4-3-1-2,3-5-1-1,Wilmar Roldán,Match Report,Leg 2 of 2; Palmeiras won,2018,brasileirao,24,2018 Palmeiras,11,4,36.4,0.09,0.25,
2018-10-06,18:00,Série A,Matchweek 28,Sat,Away,W,2,0,São Paulo,40.0,56694.0,Luan Garcia,4-2-3-1,4-2-3-1,Wilton Sampaio,Match Report,,2018,brasileirao,24,2018 Palmeiras,8,4,50.0,0.25,0.5,
2018-10-14,16:00,Série A,Matchweek 29,Sun,Home,W,2,0,Grêmio,34.0,35812.0,Bruno Henrique,4-2-3-1,4-2-3-1,Ricardo Marques Ribeiro,Match Report,,2018,brasileirao,24,2018 Palmeiras,8,6,75.0,0.25,0.33,
2018-10-21,17:00,Série A,Matchweek 30,Sun,Home,W,2,1,Ceará,39.0,36323.0,Bruno Henrique,4-2-3-1,4-2-3-1,André Luiz de Freitas Castro,Match Report,,2018,brasileirao,24,2018 Palmeiras,16,6,37.5,0.06,0.17,
2018-10-24,21:45,Libertadores,Semi-finals,Wed,Away,L,0,2,ar Boca Juniors,43.0,,Bruno Henrique,4-2-3-1,4-3-3,Roberto Tobar,Match Report,Leg 1 of 2,2018,brasileirao,24,2018 Palmeiras,7,2,28.6,0.0,0.0,
2018-10-27,20:00,Série A,Matchweek 31,Sat,Away,D,1,1,Flamengo,30.0,65102.0,Luan Garcia,4-2-3-1,4-2-3-1,Rafael Traci,Match Report,,2018,brasileirao,24,2018 Palmeiras,8,3,37.5,0.13,0.33,
2018-10-31,22:45,Libertadores,Semi-finals,Wed,Home,D,2,2,ar Boca Juniors,63.0,,Bruno Henrique,4-2-3-1,4-1-4-1,Wilmar Roldán,Match Report,Leg 2 of 2; Boca Juniors won,2018,brasileirao,24,2018 Palmeiras,18,5,27.8,0.06,0.2,
2018-11-03,20:00,Série A,Matchweek 32,Sat,Home,W,3,2,Santos,40.0,38938.0,Bruno Henrique,4-2-3-1,4-3-3,Braulio da Silva Machado,Match Report,,2018,brasileirao,24,2018 Palmeiras,11,5,45.5,0.27,0.6,
2018-11-11,17:00,Série A,Matchweek 33,Sun,Away,D,1,1,Atlético Mineiro,45.0,20488.0,Bruno Henrique,4-3-3,4-2-3-1,Wilton Sampaio,Match Report,,2018,brasileirao,24,2018 Palmeiras,7,3,42.9,0.0,0.0,
2018-11-14,21:45,Série A,Matchweek 34,Wed,Home,W,3,0,Fluminense,47.0,37430.0,Bruno Henrique,4-2-3-1,4-2-3-1,Braulio da Silva Machado,Match Report,,2018,brasileirao,24,2018 Palmeiras,19,7,36.8,0.16,0.43,
2018-11-18,17:00,Série A,Matchweek 35,Sun,Away,D,1,1,Paraná,65.0,25076.0,Edu Dracena,4-1-4-1,4-2-3-1,Bruno Arleu de Araujo,Match Report,,2018,brasileirao,24,2018 Palmeiras,22,7,31.8,0.0,0.0,
2018-11-21,21:45,Série A,Matchweek 36,Wed,Home,W,4,0,América (MG),49.0,39429.0,Bruno Henrique,4-2-3-1,4-2-3-1,Paulo Roberto Alves Júnior,Match Report,,2018,brasileirao,24,2018 Palmeiras,24,9,37.5,0.17,0.44,
2018-11-25,17:00,Série A,Matchweek 37,Sun,Away,W,1,0,Vasco da Gama,50.0,22957.0,Bruno Henrique,4-2-3-1,4-2-3-1,Rafael Traci,Match Report,,2018,brasileirao,24,2018 Palmeiras,9,3,33.3,0.11,0.33,
2018-12-02,17:00,Série A,Matchweek 38,Sun,Home,W,3,2,Vitória,58.0,41256.0,Bruno Henrique,4-2-3-1,4-1-4-1,Heber Roberto Lopes,Match Report,,2018,brasileirao,24,2018 Palmeiras,25,7,28.0,0.12,0.43,
2018-02-28,21:45,Libertadores,Group stage,Wed,Home,D,2,2,ar River Plate,56.0,,Diego,4-1-4-1,4-4-2,Michael Espinoza,Match Report,,2018,brasileirao,24,2018 Flamengo,11,5,45.5,0.09,0.2,
2018-03-14,19:45,Libertadores,Group stage,Wed,Away,W,2,1,ec CS Emelec,50.0,,Juan,4-1-4-1,4-2-3-1,Mario Díaz de Vivar,Match Report,,2018,brasileirao,24,2018 Flamengo,20,7,35.0,0.1,0.29,
2018-04-14,19:00,Série A,Matchweek 1,Sat,Away,D,2,2,Vitória,34.0,12669.0,Réver,4-1-4-1,4-2-3-1,Wagner Reway,Match Report,,2018,brasileirao,24,2018 Flamengo,10,5,50.0,0.2,0.4,
2018-04-18,21:45,Libertadores,Group stage,Wed,Home,D,1,1,co Santa Fe,68.0,,Réver,4-1-4-1,4-1-4-1,Andrés Cunha,Match Report,,2018,brasileirao,24,2018 Flamengo,17,6,35.3,0.06,0.17,
2018-04-21,19:00,Série A,Matchweek 2,Sat,Home,W,2,0,América (MG),50.0,52106.0,Réver,4-1-4-1,4-2-3-1,Leandro Bizzio Marinho,Match Report,,2018,brasileirao,24,2018 Flamengo,14,5,35.7,0.07,0.2,
2018-04-25,19:45,Libertadores,Group stage,Wed,Away,D,0,0,co Santa Fe,42.0,,Réver,4-2-3-1,4-3-3,Daniel Fedorczuk,Match Report,,2018,brasileirao,24,2018 Flamengo,6,1,16.7,0.0,0.0,
2018-04-29,16:00,Série A,Matchweek 3,Sun,Away,W,3,0,Ceará,52.0,52962.0,Réver,4-3-3,3-4-3,Anderson Daronco,Match Report,,2018,brasileirao,24,2018 Flamengo,18,7,38.9,0.17,0.43,
2018-05-06,16:00,Série A,Matchweek 4,Sun,Home,W,2,0,Internacional,57.0,60182.0,Réver,4-1-4-1,4-1-4-1,Luiz Flávio de Oliveira,Match Report,,2018,brasileirao,24,2018 Flamengo,18,7,38.9,0.11,0.29,
2018-05-13,16:00,Série A,Matchweek 5,Sun,Away,L,2,3,Chapecoense,57.0,10931.0,Juan,4-1-4-1,4-1-4-1,Leandro Pedro Vuaden,Match Report,,2018,brasileirao,24,2018 Flamengo,14,4,28.6,0.14,0.5,
2018-05-16,21:45,Libertadores,Group stage,Wed,Home,W,2,0,ec CS Emelec,48.0,,Réver,4-1-4-1,4-2-3-1,Diego Haro,Match Report,,2018,brasileirao,24,2018 Flamengo,17,6,35.3,0.12,0.33,
2018-05-19,19:00,Série A,Matchweek 6,Sat,Home,D,1,1,Vasco da Gama,61.0,35208.0,Réver,4-1-4-1,4-2-3-1,Ricardo Marques Ribeiro,Match Report,,2018,brasileirao,24,2018 Flamengo,10,3,30.0,0.1,0.33,
2018-05-23,21:45,Libertadores,Group stage,Wed,Away,D,0,0,ar River Plate,35.0,,Diego Alves,4-1-4-1,4-2-2-2,Andrés Cunha,Match Report,,2018,brasileirao,24,2018 Flamengo,9,3,33.3,0.0,0.0,
2018-05-26,21:00,Série A,Matchweek 7,Sat,Away,W,1,0,Atlético Mineiro,33.0,15797.0,Diego,4-1-4-1,4-2-3-1,Anderson Daronco,Match Report,,2018,brasileirao,24,2018 Flamengo,7,4,57.1,0.14,0.25,
2018-05-31,16:00,Série A,Matchweek 8,Thu,Home,W,2,0,Bahia,56.0,55382.0,Diego,4-1-4-1,4-2-4-0,Jean Pierre Goncalves Lima,Match Report,,2018,brasileirao,24,2018 Flamengo,16,6,37.5,0.13,0.33,
2018-06-03,16:00,Série A,Matchweek 9,Sun,Home,W,1,0,Corinthians,53.0,49222.0,Diego,4-1-4-1,4-2-4-0,Anderson Daronco,Match Report,,2018,brasileirao,24,2018 Flamengo,18,5,27.8,0.06,0.2,
2018-06-07,20:00,Série A,Matchweek 10,Thu,Away,W,2,0,Fluminense,48.0,60000.0,Diego Alves,4-1-4-1,5-4-1,Dewson Fernando Freitas da Silva,Match Report,,2018,brasileirao,24,2018 Flamengo,9,8,88.9,0.11,0.13,
2018-06-10,19:00,Série A,Matchweek 11,Sun,Home,W,2,0,Paraná,63.0,59488.0,Diego,4-1-4-1,4-1-4-1,Marcelo Aparecido Ribeiro De Souza,Match Report,,2018,brasileirao,24,2018 Flamengo,10,5,50.0,0.2,0.4,
2018-06-13,21:00,Série A,Matchweek 12,Wed,Away,D,1,1,Palmeiras,55.0,36882.0,Diego Alves,4-1-4-1,4-2-3-1,Braulio da Silva Machado,Match Report,,2018,brasileirao,24,2018 Flamengo,13,8,61.5,0.08,0.13,
2018-07-18,21:45,Série A,Matchweek 13,Wed,Home,L,0,1,São Paulo,71.0,55986.0,Réver,4-3-3,4-4-1-1,Paulo Roberto Alves Júnior,Match Report,,2018,brasileirao,24,2018 Flamengo,25,5,20.0,0.0,0.0,
2018-07-21,19:00,Série A,Matchweek 14,Sat,Home,W,2,0,Botafogo (RJ),57.0,42182.0,Réver,4-3-3,4-3-3,Luiz Flávio de Oliveira,Match Report,,2018,brasileirao,24,2018 Flamengo,9,4,44.4,0.22,0.5,
2018-07-25,21:45,Série A,Matchweek 15,Wed,Away,D,1,1,Santos,56.0,11843.0,Réver,4-1-4-1,4-2-3-1,Jailson Macêdo Freitas,Match Report,,2018,brasileirao,24,2018 Flamengo,13,4,30.8,0.08,0.25,
2018-07-29,16:00,Série A,Matchweek 16,Sun,Home,W,4,1,Sport Recife,58.0,58817.0,Réver,4-1-4-1,4-2-3-1,Marcelo Aparecido Ribeiro De Souza,Match Report,,2018,brasileirao,24,2018 Flamengo,22,9,40.9,0.18,0.44,
2018-08-04,19:00,Série A,Matchweek 17,Sat,Away,L,0,2,Grêmio,66.0,14649.0,Juan,4-1-4-1,4-2-3-1,Rafael Traci,Match Report,,2018,brasileirao,24,2018 Flamengo,8,1,12.5,0.0,0.0,
2018-08-08,21:45,Libertadores,Round of 16,Wed,Home,L,0,2,br Cruzeiro,64.0,,Réver,4-1-4-1,4-2-3-1,Néstor Pitana,Match Report,Leg 1 of 2,2018,brasileirao,24,2018 Flamengo,16,5,31.3,0.0,0.0,
2018-08-12,16:00,Série A,Matchweek 18,Sun,Home,W,1,0,Cruzeiro,51.0,55273.0,Réver,4-1-4-1,4-2-3-1,Dewson Fernando Freitas da Silva,Match Report,,2018,brasileirao,24,2018 Flamengo,9,4,44.4,0.11,0.25,
2018-08-19,11:00,Série A,Matchweek 19,Sun,Away,L,0,3,Ath Paranaense,67.0,20146.0,Everton Ribeiro,4-2-3-1,4-2-3-1,Igor Junior Benevenuto,Match Report,,2018,brasileirao,24,2018 Flamengo,15,6,40.0,0.0,0.0,
2018-08-23,19:30,Série A,Matchweek 20,Thu,Home,W,1,0,Vitória,64.0,51878.0,Réver,4-1-4-1,4-3-2-1,Wilton Sampaio,Match Report,,2018,brasileirao,24,2018 Flamengo,15,5,33.3,0.07,0.2,
2018-08-26,16:00,Série A,Matchweek 21,Sun,Away,D,2,2,América (MG),49.0,12887.0,Réver,4-1-4-1,4-2-3-1,Jean Pierre Goncalves Lima,Match Report,,2018,brasileirao,24,2018 Flamengo,11,6,54.5,0.18,0.33,
2018-08-29,21:45,Libertadores,Round of 16,Wed,Away,W,1,0,br Cruzeiro,62.0,,Réver,4-1-4-1,4-2-3-1,Andrés Cunha,Match Report,Leg 2 of 2; Cruzeiro won,2018,brasileirao,24,2018 Flamengo,10,2,20.0,0.1,0.5,
2018-09-02,11:00,Série A,Matchweek 22,Sun,Home,L,0,1,Ceará,65.0,61277.0,Réver,4-3-3,4-2-3-1,Raphael Claus,Match Report,,2018,brasileirao,24,2018 Flamengo,26,9,34.6,0.0,0.0,
2018-09-05,21:45,Série A,Matchweek 23,Wed,Away,L,1,2,Internacional,61.0,31487.0,Diego Alves,4-2-3-1,4-1-4-1,Ricardo Marques Ribeiro,Match Report,,2018,brasileirao,24,2018 Flamengo,11,4,36.4,0.09,0.25,
2018-09-08,21:00,Série A,Matchweek 24,Sat,Home,W,2,0,Chapecoense,62.0,30647.0,Réver,4-2-3-1,4-1-4-1,Leandro Bizzio Marinho,Match Report,,2018,brasileirao,24,2018 Flamengo,15,6,40.0,0.07,0.17,
2018-09-15,19:00,Série A,Matchweek 25,Sat,Away,D,1,1,Vasco da Gama,62.0,54288.0,Réver,4-1-4-1,4-3-2-1,Luiz Flávio de Oliveira,Match Report,,2018,brasileirao,24,2018 Flamengo,22,5,22.7,0.0,0.0,
2018-09-23,16:00,Série A,Matchweek 26,Sun,Home,W,2,1,Atlético Mineiro,51.0,39462.0,Réver,4-2-3-1,4-2-3-1,Rodolpho Toski Marques,Match Report,,2018,brasileirao,24,2018 Flamengo,7,2,28.6,0.29,1.0,
2018-09-29,21:00,Série A,Matchweek 27,Sat,Away,D,0,0,Bahia,68.0,31059.0,Réver,4-2-3-1,4-2-3-1,Igor Junior Benevenuto,Match Report,,2018,brasileirao,24,2018 Flamengo,11,5,45.5,0.0,0.0,
2018-10-05,21:00,Série A,Matchweek 28,Fri,Away,W,3,0,Corinthians,47.0,41693.0,Réver,4-2-3-1,4-2-4-0,Paulo Roberto Alves Júnior,Match Report,,2018,brasileirao,24,2018 Flamengo,13,7,53.8,0.23,0.43,
2018-10-13,17:00,Série A,Matchweek 29,Sat,Home,W,3,0,Fluminense,51.0,52924.0,Réver,4-2-3-1,3-4-3,Wilton Sampaio,Match Report,,2018,brasileirao,24,2018 Flamengo,16,6,37.5,0.19,0.5,
2018-10-21,20:00,Série A,Matchweek 30,Sun,Away,W,4,0,Paraná,68.0,4271.0,Réver,4-2-3-1,5-4-1,Braulio da Silva Machado,Match Report,,2018,brasileirao,24,2018 Flamengo,11,6,54.5,0.36,0.67,
2018-10-27,20:00,Série A,Matchweek 31,Sat,Home,D,1,1,Palmeiras,71.0,65102.0,Réver,4-2-3-1,4-2-3-1,Rafael Traci,Match Report,,2018,brasileirao,24,2018 Flamengo,22,4,18.2,0.05,0.25,
2018-11-04,17:00,Série A,Matchweek 32,Sun,Away,D,2,2,São Paulo,62.0,32612.0,Réver,4-2-3-1,3-1-4-2,Wilton Sampaio,Match Report,,2018,brasileirao,24,2018 Flamengo,20,8,40.0,0.1,0.25,
2018-11-10,19:00,Série A,Matchweek 33,Sat,Away,L,1,2,Botafogo (RJ),66.0,19267.0,Réver,4-1-4-1,4-2-3-1,Braulio da Silva Machado,Match Report,,2018,brasileirao,24,2018 Flamengo,13,4,30.8,0.08,0.25,
2018-11-15,17:00,Série A,Matchweek 34,Thu,Home,W,1,0,Santos,56.0,46067.0,Réver,4-2-3-1,4-2-3-1,Paulo Roberto Alves Júnior,Match Report,,2018,brasileirao,24,2018 Flamengo,20,4,20.0,0.05,0.25,
2018-11-18,16:00,Série A,Matchweek 35,Sun,Away,W,1,0,Sport Recife,42.0,26005.0,Réver,4-2-3-1,4-2-3-1,Raphael Claus,Match Report,,2018,brasileirao,24,2018 Flamengo,13,5,38.5,0.08,0.2,
2018-11-21,21:45,Série A,Matchweek 36,Wed,Home,W,2,0,Grêmio,43.0,36978.0,Réver,4-2-3-1,4-2-3-1,Braulio da Silva Machado,Match Report,,2018,brasileirao,24,2018 Flamengo,18,7,38.9,0.11,0.29,
2018-11-25,17:00,Série A,Matchweek 37,Sun,Away,W,2,0,Cruzeiro,44.0,29369.0,Diego,4-2-3-1,4-2-3-1,Jean Pierre Goncalves Lima,Match Report,,2018,brasileirao,24,2018 Flamengo,10,5,50.0,0.2,0.4,
2018-12-01,19:00,Série A,Matchweek 38,Sat,Home,L,1,2,Ath Paranaense,54.0,62994.0,Diego,4-2-3-1,4-2-3-1,Flavio Rodrigues De Souza,Match Report,,2018,brasileirao,24,2018 Flamengo,16,5,31.3,0.06,0.2,
2018-04-15,16:00,Série A,Matchweek 1,Sun,Home,W,2,0,Bahia,45.0,16663.0,Andrés D'Alessandro,4-2-3-1,4-2-3-1,Eduardo Tomaz De Aquino Valadão,Match Report,,2018,brasileirao,24,2018 Internacional,13,4,30.8,0.15,0.5,
2018-04-22,16:00,Série A,Matchweek 2,Sun,Away,L,0,1,Palmeiras,55.0,25504.0,Rodrigo Dourado,4-2-3-1,4-2-3-1,Marcelo de Lima Henrique,Match Report,,2018,brasileirao,24,2018 Internacional,8,3,37.5,0.0,0.0,
2018-04-29,19:00,Série A,Matchweek 3,Sun,Home,D,0,0,Cruzeiro,58.0,20913.0,Andrés D'Alessandro,4-2-3-1,4-4-2,Wagner do Nascimento Magalhaes,Match Report,,2018,brasileirao,24,2018 Internacional,22,6,27.3,0.0,0.0,
2018-05-06,16:00,Série A,Matchweek 4,Sun,Away,L,0,2,Flamengo,43.0,60182.0,Andrés D'Alessandro,4-1-4-1,4-1-4-1,Luiz Flávio de Oliveira,Match Report,,2018,brasileirao,24,2018 Internacional,12,5,41.7,0.0,0.0,
2018-05-12,16:00,Série A,Matchweek 5,Sat,Away,D,0,0,Grêmio,23.0,48035.0,Rodrigo Dourado,4-3-3,4-2-3-1,Wilton Sampaio,Match Report,,2018,brasileirao,24,2018 Internacional,5,1,20.0,0.0,0.0,
2018-05-21,20:00,Série A,Matchweek 6,Mon,Home,W,3,0,Chapecoense,49.0,13082.0,Rodrigo Dourado,4-2-3-1,4-1-4-1,Flavio Rodrigues De Souza,Match Report,,2018,brasileirao,24,2018 Internacional,13,3,23.1,0.23,1.0,
2018-05-27,16:00,Série A,Matchweek 7,Sun,Home,W,2,1,Corinthians,55.0,28627.0,Rodrigo Dourado,4-2-3-1,4-2-3-1,Péricles Bassols Pegado Cortez,Match Report,,2018,brasileirao,24,2018 Internacional,19,7,36.8,0.11,0.29,
2018-05-30,19:30,Série A,Matchweek 8,Wed,Away,W,3,2,Vitória,77.0,5591.0,Rodrigo Dourado,4-2-3-1,4-2-3-1,Raphael Claus,Match Report,,2018,brasileirao,24,2018 Internacional,11,3,27.3,0.18,0.67,
2018-06-02,16:00,Série A,Matchweek 9,Sat,Home,D,0,0,Sport Recife,55.0,28320.0,Rodrigo Dourado,4-2-3-1,4-2-3-1,Marcelo Aparecido Ribeiro De Souza,Match Report,,2018,brasileirao,24,2018 Internacional,19,3,15.8,0.0,0.0,
