Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,team_name,season
Kady,br BRA,MF,27.0,7,2,221.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,juventude,2023
Fábio,br BRA,"MF,FW",25.0,4,2,154.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,juventude,2023
Fernando Boldrin,br BRA,MF,33.0,5,1,147.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,juventude,2023
Gerardo Gordillo,gt GUA,DF,28.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,juventude,2023
Rafinha Rech,br BRA,FW,20.0,2,1,65.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,juventude,2023
Luis Otávio Echaporã,br BRA,FW,22.0,3,1,52.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,juventude,2023
Robertinho,br BRA,MF,23.0,10,0,247.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,juventude,2023
Rafael Furtado,br BRA,FW,23.0,4,0,96.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,juventude,2023
Élton Rodrigues Brandão,br BRA,FW,37.0,3,0,76.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,juventude,2023
Geuvânio,br BRA,"FW,MF",30.0,2,0,43.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,juventude,2023
Kelvi,br BRA,MF,20.0,1,0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,juventude,2023
Vitinho,br BRA,MF,24.0,1,0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,juventude,2023
Vitor Gonçalves,br BRA,FW,20.0,3,0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,juventude,2023
Abner,br BRA,DF,18.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,Matches,juventude,2023
Daniel Guedes,br BRA,DF,28.0,0,0,,,,,,,,,,,,,,,,Matches,juventude,2023
Tomi Montefiori,ar ARG,FW,19.0,0,0,,,,,,,,,,,,,,,,Matches,juventude,2023
Anderson Prestes,br BRA,DF,21.0,0,0,,,,,,,,,,,,,,,,Matches,juventude,2023
Cauã da Rocha,br BRA,DF,18.0,0,0,,,,,,,,,,,,,,,,Matches,juventude,2023
Lucas Wingert,br BRA,GK,23.0,0,0,,,,,,,,,,,,,,,,Matches,juventude,2023
Squad Total,,,26.9,38,418,3420.0,38.0,41.0,25.0,66.0,35.0,6.0,7.0,108.0,4.0,1.08,0.66,1.74,0.92,1.58,,juventude,2023
Opponent Total,,,27.9,38,418,3420.0,38.0,30.0,19.0,49.0,30.0,0.0,2.0,132.0,12.0,0.79,0.5,1.29,0.79,1.29,,juventude,2023
Fellipe Mateus,br BRA,"MF,FW",31.0,36,36,3188.0,35.4,5.0,9.0,14.0,4.0,1.0,1.0,4.0,0.0,0.14,0.25,0.4,0.11,0.37,Matches,criciuma,2023
Rodrigo Fagundes,br BRA,DF,35.0,35,35,3136.0,34.8,0.0,3.0,3.0,0.0,0.0,0.0,7.0,1.0,0.0,0.09,0.09,0.0,0.09,Matches,criciuma,2023
Marcelo Hermes,br BRA,DF,27.0,37,34,3083.0,34.3,1.0,3.0,4.0,1.0,0.0,0.0,4.0,0.0,0.03,0.09,0.12,0.03,0.12,Matches,criciuma,2023
Gustavo,br BRA,GK,29.0,34,34,3058.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,criciuma,2023
Arilson,br BRA,MF,29.0,33,33,2838.0,31.5,5.0,0.0,5.0,5.0,0.0,0.0,7.0,0.0,0.16,0.0,0.16,0.16,0.16,Matches,criciuma,2023
Walisson Maia,br BRA,DF,31.0,31,30,2608.0,29.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,0.03,0.03,0.0,0.03,Matches,criciuma,2023
Fabinho,br BRA,"FW,MF",23.0,32,27,2195.0,24.4,5.0,0.0,5.0,5.0,0.0,0.0,5.0,1.0,0.21,0.0,0.21,0.21,0.21,Matches,criciuma,2023
Claudinho,br BRA,DF,22.0,32,23,1847.0,20.5,3.0,2.0,5.0,3.0,0.0,0.0,3.0,1.0,0.15,0.1,0.24,0.15,0.24,Matches,criciuma,2023
Éder,it ITA,"FW,MF",36.0,26,22,1884.0,20.9,9.0,2.0,11.0,6.0,3.0,3.0,4.0,1.0,0.43,0.1,0.53,0.29,0.38,Matches,criciuma,2023
Romulo,br BRA,MF,27.0,31,22,1654.0,18.4,2.0,2.0,4.0,2.0,0.0,0.0,7.0,0.0,0.11,0.11,0.22,0.11,0.22,Matches,criciuma,2023
Felipe Vizeu,br BRA,FW,25.0,27,21,1634.0,18.2,6.0,1.0,7.0,6.0,0.0,0.0,6.0,0.0,0.33,0.06,0.39,0.33,0.39,Matches,criciuma,2023
Cristovam da Silva,br BRA,DF,32.0,26,12,1196.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,criciuma,2023
Marquinhos Gabriel,br BRA,"MF,FW",32.0,23,12,1179.0,13.1,1.0,3.0,4.0,0.0,1.0,1.0,2.0,0.0,0.08,0.23,0.31,0.0,0.23,Matches,criciuma,2023
Miqueias,br BRA,MF,21.0,18,10,877.0,9.7,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.21,0.21,0.0,0.21,Matches,criciuma,2023
Hygor,br BRA,"FW,MF",30.0,15,10,875.0,9.7,4.0,1.0,5.0,4.0,0.0,0.0,1.0,0.0,0.41,0.1,0.51,0.41,0.51,Matches,criciuma,2023
Rayan,br BRA,DF,33.0,12,8,772.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,criciuma,2023
Barreto,br BRA,"MF,FW",27.0,11,8,738.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,criciuma,2023
Léo Costa,br BRA,MF,27.0,19,7,719.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,criciuma,2023
Jonathan,br BRA,"DF,MF",30.0,18,7,667.0,7.4,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.13,0.13,0.0,0.13,Matches,criciuma,2023
Hélder,br BRA,DF,34.0,15,6,551.0,6.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.0,0.16,Matches,criciuma,2023
Crystopher,br BRA,MF,24.0,15,4,465.0,5.2,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.19,0.19,0.39,0.19,0.39,Matches,criciuma,2023
Italo Melo,br BRA,"FW,MF",29.0,12,4,404.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,criciuma,2023
Alisson,br BRA,GK,27.0,5,4,362.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,criciuma,2023
Tiago Marques,br BRA,FW,34.0,12,3,347.0,3.9,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.52,0.0,0.52,0.52,0.52,Matches,criciuma,2023
Lohan,br BRA,FW,27.0,10,2,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,criciuma,2023
Matheus Mancini,br BRA,DF,28.0,5,2,233.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,criciuma,2023
João Carlos,br BRA,FW,21.0,16,1,304.0,3.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,Matches,criciuma,2023
Thiago Mina,br BRA,DF,20.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,criciuma,2023
Welinton Torrão,br BRA,FW,23.0,11,0,126.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,criciuma,2023
Fernando Canesin,br BRA,"FW,MF",30.0,7,0,107.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,criciuma,2023
Neílton,br BRA,"FW,MF",28.0,3,0,35.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,criciuma,2023
Léo Gonçalves,br BRA,MF,20.0,0,0,,,,,,,,,,,,,,,,Matches,criciuma,2023
Guilherme,br BRA,DF,20.0,0,0,,,,,,,,,,,,,,,,Matches,criciuma,2023
Eduardo Melo,br BRA,FW,21.0,0,0,,,,,,,,,,,,,,,,Matches,criciuma,2023
Kauã Moroso,br BRA,GK,18.0,0,0,,,,,,,,,,,,,,,,Matches,criciuma,2023
Vinícius Oliveira,br BRA,GK,19.0,0,0,,,,,,,,,,,,,,,,Matches,criciuma,2023
Alexandre Tam,br BRA,FW,23.0,0,0,,,,,,,,,,,,,,,,Matches,criciuma,2023
Squad Total,,,29.6,38,418,3420.0,38.0,44.0,33.0,77.0,39.0,5.0,5.0,96.0,6.0,1.16,0.87,2.03,1.03,1.89,,criciuma,2023
Opponent Total,,,27.6,38,418,3420.0,38.0,31.0,20.0,51.0,29.0,2.0,3.0,94.0,2.0,0.82,0.53,1.34,0.76,1.29,,criciuma,2023
Ronaldo,br BRA,GK,26.0,36,35,3161.0,35.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,atletico_goianiense,2023
Shaylon,br BRA,MF,25.0,36,35,2923.0,32.5,4.0,6.0,10.0,4.0,0.0,0.0,2.0,0.0,0.12,0.18,0.31,0.12,0.31,Matches,atletico_goianiense,2023
Luiz Fernando,br BRA,"MF,FW",26.0,35,33,2561.0,28.5,9.0,3.0,12.0,9.0,0.0,1.0,5.0,0.0,0.32,0.11,0.42,0.32,0.42,Matches,atletico_goianiense,2023
Gustavo Coutinho,br BRA,FW,24.0,31,31,2306.0,25.6,14.0,2.0,16.0,10.0,4.0,4.0,3.0,0.0,0.55,0.08,0.62,0.39,0.47,Matches,atletico_goianiense,2023
Bruno Tubarão,br BRA,"DF,MF",27.0,34,29,2433.0,27.0,2.0,3.0,5.0,2.0,0.0,0.0,9.0,1.0,0.07,0.11,0.18,0.07,0.18,Matches,atletico_goianiense,2023
Heron,br BRA,DF,22.0,30,26,2311.0,25.7,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,atletico_goianiense,2023
Matheus Sales,br BRA,MF,27.0,28,26,1871.0,20.8,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,atletico_goianiense,2023
Rhaldney,br BRA,MF,24.0,36,25,2236.0,24.8,2.0,0.0,2.0,2.0,0.0,0.0,8.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches,atletico_goianiense,2023
Kelvin,br BRA,MF,25.0,30,19,1702.0,18.9,3.0,4.0,7.0,3.0,0.0,0.0,3.0,0.0,0.16,0.21,0.37,0.16,0.37,Matches,atletico_goianiense,2023
Rodrigo Alves Soares,br BRA,DF,30.0,21,17,1445.0,16.1,2.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.12,0.19,0.31,0.12,0.31,Matches,atletico_goianiense,2023
Lucas Gazal,br BRA,DF,23.0,18,16,1452.0,16.1,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,0.06,0.06,0.12,0.06,0.12,Matches,atletico_goianiense,2023
Luiz Felipe,br BRA,DF,29.0,16,16,1440.0,16.0,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.06,0.06,0.12,0.06,0.12,Matches,atletico_goianiense,2023
Lucas Esteves,br BRA,DF,22.0,16,16,1316.0,14.6,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.14,0.14,0.0,0.14,Matches,atletico_goianiense,2023
Gabriel Baralhas,br BRA,MF,24.0,16,15,1330.0,14.8,5.0,2.0,7.0,5.0,0.0,0.0,6.0,1.0,0.34,0.14,0.47,0.34,0.47,Matches,atletico_goianiense,2023
Alix Vinicius,br BRA,DF,23.0,18,14,1217.0,13.5,2.0,0.0,2.0,2.0,0.0,0.0,3.0,1.0,0.15,0.0,0.15,0.15,0.15,Matches,atletico_goianiense,2023
Renato,br BRA,MF,31.0,16,12,1137.0,12.6,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches,atletico_goianiense,2023
Jefferson,br BRA,DF,26.0,13,11,918.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,atletico_goianiense,2023
Ramon Menezes Roma,br BRA,DF,27.0,7,7,619.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,atletico_goianiense,2023
Dodô,br BRA,"MF,FW",28.0,14,6,692.0,7.7,2.0,3.0,5.0,2.0,0.0,0.0,3.0,0.0,0.26,0.39,0.65,0.26,0.65,Matches,atletico_goianiense,2023
Emerson Santos,br BRA,DF,27.0,14,6,539.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,atletico_goianiense,2023
