Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,team_name,season,Sh,SoT,Dist
2021-07-27,21:30,Série B,Matchweek 6,Tue,Home,W,2,0,CSA,45,,Gilvan,4-2-3-1,4-2-3-1,Douglas Schwengber da Silva,Match Report,,botafogo_rj,2021,13,4,
2021-07-31,21:00,Série B,Matchweek 15,Sat,Home,W,2,0,Vasco da Gama,31,,Kanu,4-2-3-1,4-2-3-1,Heber Roberto Lopes,Match Report,,botafogo_rj,2021,10,3,
2021-08-08,20:30,Série B,Matchweek 16,Sun,Home,W,2,0,Ponte Preta,43,,Kanu,4-2-3-1,4-2-3-1,Rodrigo Batista Raposo,Match Report,,botafogo_rj,2021,12,2,
2021-08-12,21:30,Série B,Matchweek 17,Thu,Away,L,0,1,Operário,63,,Kanu,4-2-3-1,4-2-3-1,Douglas Marques das Flores,Match Report,,botafogo_rj,2021,15,5,
2021-08-15,18:15,Série B,Matchweek 18,Sun,Home,W,1,0,Brasil de Pelotas,46,,Kanu,4-2-3-1,4-2-3-1,Thiago Luis Scarascati,Match Report,,botafogo_rj,2021,11,5,
2021-08-18,19:00,Série B,Matchweek 19,Wed,Away,D,1,1,Guarani,40,,Kanu,4-2-3-1,4-2-3-1,Marielson Alves Silva,Match Report,,botafogo_rj,2021,9,6,
2021-08-22,11:00,Série B,Matchweek 20,Sun,Home,W,3,2,Vila Nova,51,,Joel Carli,3-5-2,5-3-2,Denis Ribeiro Serafim,Match Report,,botafogo_rj,2021,10,5,
2021-08-27,21:30,Série B,Matchweek 21,Fri,Away,W,1,0,Coritiba,42,,Joel Carli,4-2-3-1,4-2-3-1,Rodrigo D'Alonso Ferreira,Match Report,,botafogo_rj,2021,11,3,
2021-09-04,19:30,Série B,Matchweek 22,Sat,Away,W,1,0,Remo,38,,Joel Carli,4-4-2,4-3-3,Wilton Pereira Sampaio,Match Report,,botafogo_rj,2021,8,1,
2021-09-11,16:30,Série B,Matchweek 23,Sat,Home,W,4,0,Londrina,60,,Kanu,4-2-3-1,4-3-3,Paulo Henrique Schleinch Vollkopf,Match Report,,botafogo_rj,2021,15,8,
2021-09-18,16:30,Série B,Matchweek 24,Sat,Home,W,3,1,Náutico,48,,Kanu,4-3-3,4-2-3-1,Flavio Rodrigues De Souza,Match Report,,botafogo_rj,2021,20,9,
2021-09-23,19:00,Série B,Matchweek 25,Thu,Away,L,0,2,CSA,54,,Kanu,4-2-3-1,4-2-3-1,Heber Roberto Lopes,Match Report,,botafogo_rj,2021,9,3,
2021-09-26,18:15,Série B,Matchweek 26,Sun,Home,W,2,0,Sampaio Corrêa,54,762.0,Joel Carli,4-2-3-1,4-3-3,Paulo Cesar Zanovelli da Silva,Match Report,,botafogo_rj,2021,16,5,
2021-09-29,21:30,Série B,Matchweek 27,Wed,Away,D,0,0,Vitória,50,,Kanu,4-2-3-1,4-1-4-1,Vinicius Gonçalves Dias Araujo,Match Report,,botafogo_rj,2021,9,1,
2021-10-02,19:00,Série B,Matchweek 28,Sat,Home,L,1,2,Avaí,51,751.0,Joel Carli,4-2-3-1,4-2-3-1,Jefferson Ferreira de Moraes,Match Report,,botafogo_rj,2021,6,3,
2021-10-08,19:00,Série B,Matchweek 29,Fri,Home,W,2,0,CRB,64,2139.0,Joel Carli,4-2-3-1,4-2-3-1,Antonio Dib Moraes de Sousa,Match Report,,botafogo_rj,2021,16,3,
2021-10-12,21:30,Série B,Matchweek 30,Tue,Away,D,0,0,Cruzeiro,46,5297.0,Joel Carli,4-2-3-1,4-2-3-1,Denis Ribeiro Serafim,Match Report,,botafogo_rj,2021,3,1,
2021-10-20,20:30,Série B,Matchweek 31,Wed,Home,W,3,0,Brusque,50,3058.0,Joel Carli,4-2-3-1,4-2-3-1,Dyorgines José Padovani Andrade,Match Report,,botafogo_rj,2021,24,9,
2021-10-26,21:30,Série B,Matchweek 32,Tue,Away,D,1,1,Goiás,43,3594.0,Joel Carli,4-2-3-1,4-2-3-1,Anderson Daronco,Match Report,,botafogo_rj,2021,8,3,
2021-11-03,19:00,Série B,Matchweek 33,Wed,Home,W,1,0,Confiança,47,4129.0,Joel Carli,4-2-3-1,4-3-3,Savio Pereira,Match Report,,botafogo_rj,2021,12,4,
2021-11-07,16:00,Série B,Matchweek 34,Sun,Away,W,4,0,Vasco da Gama,44,5536.0,Joel Carli,4-2-3-1,4-2-3-1,Luiz Flávio de Oliveira,Match Report,,botafogo_rj,2021,15,8,
2021-11-11,19:00,Série B,Matchweek 35,Thu,Away,D,0,0,Ponte Preta,47,4325.0,Kanu,4-2-3-1,4-1-4-1,Antonio Dib Moraes de Sousa,Match Report,,botafogo_rj,2021,6,1,
2021-11-15,16:00,Série B,Matchweek 36,Mon,Home,W,2,1,Operário,50,25584.0,Joel Carli,4-2-3-1,4-2-3-1,Dewson Fernando Freitas da Silva,Match Report,,botafogo_rj,2021,14,5,
2021-11-21,16:00,Série B,Matchweek 37,Sun,Away,W,1,0,Brasil de Pelotas,40,1030.0,Joel Carli,4-2-3-1,4-2-3-1,Alisson Sidnei Furtado,Match Report,,botafogo_rj,2021,12,2,
2021-11-28,16:00,Série B,Matchweek 38,Sun,Home,D,2,2,Guarani,54,33853.0,Joel Carli,4-2-3-1,4-3-3,Rodolpho Toski Marques,Match Report,,botafogo_rj,2021,12,3,
2021-05-31,20:00,Série B,Matchweek 1,Mon,Away,D,0,0,Sampaio Corrêa,46,,David Duarte,4-2-3-1,4-2-3-1,Jose Mendonca da Silva Junior,Match Report,,goias,2021,14,4,
2021-06-04,17:30,Série B,Matchweek 2,Fri,Home,W,2,0,Confiança,40,,David Duarte,4-2-3-1,4-2-3-1,Adriano Barros Carneiro,Match Report,,goias,2021,16,5,
2021-06-12,21:00,Série B,Matchweek 3,Sat,Away,D,1,1,Cruzeiro,33,,David Duarte,4-2-3-1,4-4-2,Vinicius Furlan,Match Report,,goias,2021,14,6,
2021-06-15,21:30,Série B,Matchweek 4,Tue,Home,W,1,0,CRB,36,,Elvis Vieira Araújo,4-2-3-1,4-2-3-1,Rodrigo Batista Raposo,Match Report,,goias,2021,15,4,
2021-06-18,21:30,Série B,Matchweek 5,Fri,Away,L,1,2,Brasil de Pelotas,68,,Tadeu,4-2-3-1,4-2-3-1,Rafael Martins de Sá,Match Report,,goias,2021,18,3,
2021-06-22,19:00,Série B,Matchweek 6,Tue,Home,W,3,0,Avaí,49,,Elvis Vieira Araújo,4-2-3-1,4-2-3-1,Zandick Gondim Alves Junior,Match Report,,goias,2021,16,6,
2021-06-25,21:30,Série B,Matchweek 7,Fri,Away,D,0,0,Vila Nova,44,,Elvis Vieira Araújo,4-2-3-1,4-3-3,Dyorgines José Padovani Andrade,Match Report,,goias,2021,6,2,
2021-06-30,19:00,Série B,Matchweek 8,Wed,Home,W,1,0,Vasco da Gama,75,,Elvis Vieira Araújo,4-2-3-1,4-2-3-1,Douglas Marques das Flores,Match Report,,goias,2021,18,7,
2021-07-03,21:30,Série B,Matchweek 9,Sat,Away,D,1,1,Vitória,34,,David Duarte,4-4-2,4-2-3-1,Marco Aurelio Augusto Fazekas Ferreira,Match Report,,goias,2021,7,3,
2021-07-09,21:30,Série B,Matchweek 10,Fri,Home,L,0,1,Náutico,46,,David Duarte,4-2-3-1,4-2-3-1,Ivan da Silva Guimarães Jr.,Match Report,,goias,2021,13,7,
2021-07-14,19:00,Série B,Matchweek 11,Wed,Away,W,1,0,CSA,44,,Elvis Vieira Araújo,4-2-3-1,4-2-3-1,Alexandre Vargas Tavares de Jesus,Match Report,,goias,2021,15,7,
2021-07-17,16:00,Série B,Matchweek 12,Sat,Home,D,0,0,Londrina,54,,Elvis Vieira Araújo,4-2-3-1,4-2-3-1,Wanderson Alves de Souza,Match Report,,goias,2021,10,5,
2021-07-20,19:00,Série B,Matchweek 13,Tue,Away,W,2,0,Botafogo (RJ),43,,Elvis Vieira Araújo,4-2-3-1,4-2-3-1,Igor Junior Benevenuto,Match Report,,goias,2021,12,5,
2021-07-23,20:00,Série B,Matchweek 14,Fri,Away,L,1,2,Ponte Preta,67,,Elvis Vieira Araújo,4-3-1-2,3-5-2,Heber Roberto Lopes,Match Report,,goias,2021,12,5,
2021-07-30,16:00,Série B,Matchweek 15,Fri,Home,W,1,0,Operário,50,,Elvis Vieira Araújo,4-2-3-1,4-2-3-1,Salim Fende Chavez,Match Report,,goias,2021,18,7,
2021-08-06,19:30,Série B,Matchweek 16,Fri,Away,D,1,1,Coritiba,43,,Elvis Vieira Araújo,4-2-3-1,4-2-3-1,Vinicius Gomes do Amaral,Match Report,,goias,2021,9,2,
2021-08-10,21:30,Série B,Matchweek 17,Tue,Home,D,1,1,Remo,57,,Elvis Vieira Araújo,4-2-3-1,4-1-4-1,Paulo Cesar Zanovelli da Silva,Match Report,,goias,2021,15,6,
2021-08-13,19:00,Série B,Matchweek 18,Fri,Home,W,2,1,Guarani,47,,Elvis Vieira Araújo,4-2-3-1,4-2-3-1,Ramon Abatti Abel,Match Report,,goias,2021,4,3,
2021-08-19,19:00,Série B,Matchweek 19,Thu,Away,W,1,0,Brusque,42,,Elvis Vieira Araújo,4-4-2,4-2-2-2,Paulo Henrique Schleinch Vollkopf,Match Report,,goias,2021,14,4,
2021-08-22,16:00,Série B,Matchweek 20,Sun,Home,D,2,2,Sampaio Corrêa,58,,Elvis Vieira Araújo,4-2-3-1,4-2-3-1,Ricardo Marques Ribeiro,Match Report,,goias,2021,17,4,
2021-08-26,18:00,Série B,Matchweek 21,Thu,Away,W,2,1,Confiança,54,,Apodi,4-2-3-1,4-3-3,Marco Aurelio Augusto Fazekas Ferreira,Match Report,,goias,2021,18,8,
2021-09-07,21:30,Série B,Matchweek 22,Tue,Home,D,1,1,Cruzeiro,57,,Elvis Vieira Araújo,4-2-3-1,4-2-3-1,Jean Pierre Goncalves Lima,Match Report,,goias,2021,12,1,
2021-09-11,21:00,Série B,Matchweek 23,Sat,Away,W,1,0,CRB,34,1663.0,Elvis Vieira Araújo,4-2-3-1,4-2-3-1,Salim Fende Chavez,Match Report,,goias,2021,10,2,
2021-09-18,19:00,Série B,Matchweek 24,Sat,Home,W,2,1,Brasil de Pelotas,50,,Elvis Vieira Araújo,4-2-3-1,4-2-3-1,Diego Pombo Lopez,Match Report,,goias,2021,17,5,
2021-09-21,19:00,Série B,Matchweek 25,Tue,Away,L,0,1,Avaí,38,,Elvis Vieira Araújo,4-2-3-1,4-2-3-1,Felipe Fernandes de Lima,Match Report,,goias,2021,4,3,
2021-09-24,19:00,Série B,Matchweek 26,Fri,Home,L,1,2,Vila Nova,57,1310.0,Elvis Vieira Araújo,4-2-3-1,4-2-3-1,Marcelo de Lima Henrique,Match Report,,goias,2021,13,7,
2021-09-27,20:00,Série B,Matchweek 27,Mon,Away,L,0,2,Vasco da Gama,44,3189.0,Elvis Vieira Araújo,4-2-3-1,4-2-3-1,Ramon Abatti Abel,Match Report,,goias,2021,17,3,
2021-10-02,16:00,Série B,Matchweek 28,Sat,Home,W,3,0,Vitória,49,1080.0,Elvis Vieira Araújo,4-2-3-1,4-1-4-1,Wagner do Nascimento Magalhaes,Match Report,,goias,2021,17,5,
2021-10-05,21:30,Série B,Matchweek 29,Tue,Away,L,2,3,Náutico,51,2724.0,Elvis Vieira Araújo,4-2-3-1,4-4-1-1,Ricardo Marques Ribeiro,Match Report,,goias,2021,10,7,
2021-10-15,21:30,Série B,Matchweek 30,Fri,Home,W,3,1,CSA,37,1712.0,Elvis Vieira Araújo,4-2-3-1,4-2-3-1,Bruno Arleu de Araujo,Match Report,,goias,2021,13,5,
2021-10-19,19:00,Série B,Matchweek 31,Tue,Away,D,0,0,Londrina,57,1441.0,Elvis Vieira Araújo,4-2-3-1,4-2-3-1,Douglas Schwengber da Silva,Match Report,,goias,2021,10,4,
2021-10-26,21:30,Série B,Matchweek 32,Tue,Home,D,1,1,Botafogo (RJ),57,3594.0,Elvis Vieira Araújo,4-2-3-1,4-2-3-1,Anderson Daronco,Match Report,,goias,2021,16,6,
2021-11-02,21:30,Série B,Matchweek 33,Tue,Home,D,2,2,Ponte Preta,64,3310.0,Elvis Vieira Araújo,4-2-3-1,4-2-3-1,Caio Max Augusto Vieira,Match Report,,goias,2021,19,5,
2021-11-06,18:30,Série B,Matchweek 34,Sat,Away,D,1,1,Operário,46,3111.0,Elvis Vieira Araújo,4-4-2,4-2-3-1,Vinicius Gonçalves Dias Araujo,Match Report,,goias,2021,13,5,
2021-11-10,21:30,Série B,Matchweek 35,Wed,Home,W,2,1,Coritiba,42,6618.0,Elvis Vieira Araújo,4-2-3-1,4-2-3-1,Paulo Cesar Zanovelli da Silva,Match Report,,goias,2021,23,8,
2021-11-15,20:00,Série B,Matchweek 36,Mon,Away,W,1,0,Remo,37,6700.0,Elvis Vieira Araújo,4-2-3-1,4-2-3-1,Marielson Alves Silva,Match Report,,goias,2021,12,5,
2021-11-22,20:00,Série B,Matchweek 37,Mon,Away,W,2,0,Guarani,27,16584.0,Elvis Vieira Araújo,4-4-2◆,4-2-3-1,Bruno Arleu de Araujo,Match Report,,goias,2021,12,6,
2021-11-28,16:00,Série B,Matchweek 38,Sun,Home,D,2,2,Brusque,56,11207.0,David Duarte,4-3-1-2,4-4-2,Jose Mendonca da Silva Junior,Match Report,,goias,2021,29,10,
2021-05-29,18:15,Série B,Matchweek 1,Sat,Home,W,2,0,Avaí,62,,Willian Farias,4-3-3,4-2-3-1,Rodrigo Carvalhaes de Miranda,Match Report,,coritiba,2021,10,5,
2021-06-05,21:00,Série B,Matchweek 2,Sat,Away,L,0,2,Botafogo (RJ),62,,Willian Farias,4-2-3-1,4-2-3-1,Dewson Fernando Freitas da Silva,Match Report,,coritiba,2021,8,1,
2021-06-13,20:30,Série B,Matchweek 3,Sun,Home,D,1,1,Londrina,53,,Willian Farias,4-2-3-1,4-2-3-1,Diego Da Costa Cidral,Match Report,,coritiba,2021,16,3,
2021-06-19,21:00,Série B,Matchweek 5,Sat,Away,W,1,0,Vila Nova,43,,Wilson,4-2-3-1,4-2-3-1,Ivan da Silva Guimarães Jr.,Match Report,,coritiba,2021,8,2,
2021-06-22,21:30,Série B,Matchweek 6,Tue,Home,W,1,0,Vitória,40,,Willian Farias,4-2-3-1,4-3-3,Douglas Marques das Flores,Match Report,,coritiba,2021,7,3,
2021-06-25,19:00,Série B,Matchweek 7,Fri,Away,W,2,0,Guarani,42,,Willian Farias,4-2-3-1,4-2-3-1,Marco Aurelio Augusto Fazekas Ferreira,Match Report,,coritiba,2021,8,4,
2021-06-29,20:00,Série B,Matchweek 8,Tue,Away,W,1,0,Confiança,62,,Willian Farias,4-2-3-1,4-3-3,José Ricardo Vasconcellos Laranjeira,Match Report,,coritiba,2021,11,3,
2021-07-02,19:00,Série B,Matchweek 9,Fri,Home,W,2,1,Remo,56,,Henrique,4-2-3-1,4-2-3-1,Adriano Barros Carneiro,Match Report,,coritiba,2021,16,8,
2021-07-06,19:00,Série B,Matchweek 10,Tue,Away,D,0,0,Cruzeiro,48,,Willian Farias,4-2-3-1,4-2-3-1,Dyorgines José Padovani Andrade,Match Report,,coritiba,2021,12,3,
2021-07-13,21:30,Série B,Matchweek 11,Tue,Home,D,1,1,Vasco da Gama,51,,Henrique,4-2-3-1,4-2-3-1,André Luiz de Freitas Castro,Match Report,,coritiba,2021,9,3,
2021-07-16,21:30,Série B,Matchweek 12,Fri,Away,W,3,2,Sampaio Corrêa,42,,Willian Farias,4-2-3-1,4-3-3,Maguielson Lima Barbosa,Match Report,,coritiba,2021,11,4,
2021-07-22,19:00,Série B,Matchweek 13,Thu,Home,D,1,1,CRB,31,,Willian Farias,4-2-3-1,4-2-3-1,Pablo Ramón Goncalves Pinheiro,Match Report,,coritiba,2021,11,5,
2021-07-25,18:15,Série B,Matchweek 14,Sun,Away,L,0,1,Operário,61,,Henrique,4-2-3-1,4-2-3-1,Ricardo Marques Ribeiro,Match Report,,coritiba,2021,12,2,
2021-07-30,20:00,Série B,Matchweek 15,Fri,Home,W,3,1,Náutico,45,,Willian Farias,4-2-3-1,4-2-3-1,Thiago Luis Scarascati,Match Report,,coritiba,2021,16,4,
2021-08-03,19:00,Série B,Matchweek 4,Tue,Away,D,0,0,Brusque,47,,Willian Farias,4-2-3-1,4-4-2,Antonio Dib Moraes de Sousa,Match Report,,coritiba,2021,8,1,
2021-08-06,19:30,Série B,Matchweek 16,Fri,Home,D,1,1,Goiás,57,,Willian Farias,4-2-3-1,4-2-3-1,Vinicius Gomes do Amaral,Match Report,,coritiba,2021,12,4,
2021-08-11,16:00,Série B,Matchweek 17,Wed,Away,W,2,0,Brasil de Pelotas,46,,Henrique,4-2-3-1,4-2-3-1,Fabio Augusto de Sá Junior,Match Report,,coritiba,2021,14,6,
2021-08-14,16:30,Série B,Matchweek 18,Sat,Away,L,0,3,CSA,70,,Willian Farias,4-2-3-1,4-3-3,Wagner do Nascimento Magalhaes,Match Report,,coritiba,2021,11,0,
2021-08-17,21:30,Série B,Matchweek 19,Tue,Home,W,2,0,Ponte Preta,48,,Willian Farias,4-2-3-1,4-3-3,Paulo Cesar Zanovelli da Silva,Match Report,,coritiba,2021,9,5,
2021-08-20,19:00,Série B,Matchweek 20,Fri,Away,W,2,1,Avaí,43,,Willian Farias,4-2-3-1,4-2-3-1,Luiz Flávio de Oliveira,Match Report,,coritiba,2021,9,3,
2021-08-27,21:30,Série B,Matchweek 21,Fri,Home,L,0,1,Botafogo (RJ),59,,Willian Farias,4-2-3-1,4-2-3-1,Rodrigo D'Alonso Ferreira,Match Report,,coritiba,2021,12,3,
2021-09-01,21:30,Série B,Matchweek 22,Wed,Away,W,3,2,Londrina,62,,Willian Farias,4-2-3-1,4-1-3-2,André Luiz de Freitas Castro,Match Report,,coritiba,2021,10,5,
2021-09-07,19:00,Série B,Matchweek 23,Tue,Home,W,4,0,Brusque,48,,Willian Farias,4-2-3-1,4-4-2,Rodrigo José Pereira de Lima,Match Report,,coritiba,2021,18,9,
2021-09-17,19:00,Série B,Matchweek 24,Fri,Home,W,1,0,Vila Nova,45,,Willian Farias,4-2-3-1,4-2-3-1,Douglas Schwengber da Silva,Match Report,,coritiba,2021,6,3,
2021-09-22,19:00,Série B,Matchweek 25,Wed,Away,D,0,0,Vitória,50,,Willian Farias,4-2-3-1,4-3-3,Denis Ribeiro Serafim,Match Report,,coritiba,2021,14,3,
2021-09-25,21:00,Série B,Matchweek 26,Sat,Home,W,1,0,Guarani,42,1391.0,Henrique,4-2-3-1,4-2-3-1,Antonio Dib Moraes de Sousa,Match Report,,coritiba,2021,15,5,
2021-09-28,21:30,Série B,Matchweek 27,Tue,Home,D,1,1,Confiança,69,830.0,Willian Farias,4-2-3-1,4-3-3,Ricardo Marques Ribeiro,Match Report,,coritiba,2021,21,5,
2021-10-04,20:00,Série B,Matchweek 28,Mon,Away,D,0,0,Remo,42,1908.0,Willian Farias,4-2-3-1,4-3-3,Zandick Gondim Alves Junior,Match Report,,coritiba,2021,9,3,
2021-10-08,21:30,Série B,Matchweek 29,Fri,Home,L,0,3,Cruzeiro,67,1720.0,Willian Farias,4-2-3-1,4-2-3-1,Marielson Alves Silva,Match Report,,coritiba,2021,20,5,
2021-10-16,16:30,Série B,Matchweek 30,Sat,Away,L,1,2,Vasco da Gama,48,6245.0,Henrique,4-2-3-1,4-3-3,Wilton Sampaio,Match Report,,coritiba,2021,10,2,
2021-10-19,21:30,Série B,Matchweek 31,Tue,Home,W,3,0,Sampaio Corrêa,62,2448.0,Willian Farias,4-2-3-1,4-2-3-1,Savio Pereira,Match Report,,coritiba,2021,17,8,
2021-10-26,19:00,Série B,Matchweek 32,Tue,Away,D,1,1,CRB,48,3115.0,Willian Farias,4-2-3-1,4-2-3-1,Leandro Pedro Vuaden,Match Report,,coritiba,2021,8,2,
2021-11-03,18:30,Série B,Matchweek 33,Wed,Home,W,3,1,Operário,45,16886.0,Willian Farias,4-2-3-1,4-2-3-1,Antonio Dib Moraes de Sousa,Match Report,,coritiba,2021,21,6,
2021-11-06,16:15,Série B,Matchweek 34,Sat,Away,L,1,2,Náutico,59,2273.0,Willian Farias,4-2-3-1,4-2-3-1,Flavio Rodrigues De Souza,Match Report,,coritiba,2021,24,7,
2021-11-10,21:30,Série B,Matchweek 35,Wed,Away,L,1,2,Goiás,58,6618.0,Willian Farias,4-2-3-1,4-2-3-1,Paulo Cesar Zanovelli da Silva,Match Report,,coritiba,2021,6,1,
2021-11-14,18:15,Série B,Matchweek 36,Sun,Home,W,2,1,Brasil de Pelotas,63,27531.0,Willian Farias,4-2-3-1,4-2-3-1,Diego Pombo Lopez,Match Report,,coritiba,2021,33,7,
2021-11-21,16:00,Série B,Matchweek 37,Sun,Home,L,0,1,CSA,50,32506.0,Willian Farias,4-2-3-1,4-3-3,Marielson Alves Silva,Match Report,,coritiba,2021,15,3,
2021-11-26,19:00,Série B,Matchweek 38,Fri,Away,L,2,3,Ponte Preta,52,1970.0,Luciano Castán,4-2-3-1,4-2-3-1,Douglas Schwengber da Silva,Match Report,,coritiba,2021,9,2,
2021-05-29,18:15,Série B,Matchweek 1,Sat,Away,L,0,2,Coritiba,38,,Rafael Pereira,4-2-3-1,4-3-3,Rodrigo Carvalhaes de Miranda,Match Report,,avai,2021,15,4,
2021-06-06,20:30,Série B,Matchweek 2,Sun,Home,D,1,1,Vila Nova,50,,Alemão,4-2-3-1,4-3-3,Salim Fende Chavez,Match Report,,avai,2021,22,8,
2021-06-13,16:00,Série B,Matchweek 3,Sun,Home,L,1,2,Brusque,60,,Alemão,4-2-3-1,4-4-2,Lucas Paulo Torezin,Match Report,,avai,2021,16,2,
2021-06-16,19:00,Série B,Matchweek 4,Wed,Away,W,2,0,Vasco da Gama,39,,Alemão,4-2-3-1,4-2-3-1,Marco Aurelio Augusto Fazekas Ferreira,Match Report,,avai,2021,12,6,
2021-06-22,19:00,Série B,Matchweek 6,Tue,Away,L,0,3,Goiás,51,,Alemão,4-2-3-1,4-2-3-1,Zandick Gondim Alves Junior,Match Report,,avai,2021,18,6,
2021-06-25,16:30,Série B,Matchweek 7,Fri,Home,W,1,0,CRB,66,,Alemão,4-2-3-1,4-2-3-1,Djonaltan Costa de Araujo,Match Report,,avai,2021,24,7,
2021-06-30,19:00,Série B,Matchweek 8,Wed,Away,W,3,1,Londrina,42,,Alemão,4-2-3-1,4-2-3-1,Ivan da Silva Guimarães Jr.,Match Report,,avai,2021,15,7,
2021-07-03,21:00,Série B,Matchweek 9,Sat,Home,D,1,1,Botafogo (RJ),46,,Alemão,4-2-3-1,4-2-3-1,André Luiz de Freitas Castro,Match Report,,avai,2021,14,4,
2021-07-06,19:00,Série B,Matchweek 10,Tue,Away,D,0,0,Ponte Preta,51,,Alemão,4-3-3,4-4-2,Tiago Nascimento dos Santos,Match Report,,avai,2021,12,1,
2021-07-13,19:00,Série B,Matchweek 11,Tue,Home,W,2,1,Confiança,65,,Betão,4-2-3-1,5-3-2,Rafael Martins de Sá,Match Report,,avai,2021,21,7,
2021-07-17,16:30,Série B,Matchweek 12,Sat,Away,W,3,0,Cruzeiro,37,,Betão,4-2-3-1,4-2-3-1,Alisson Sidnei Furtado,Match Report,,avai,2021,9,4,
2021-07-22,21:30,Série B,Matchweek 13,Thu,Home,W,1,0,Operário,56,,Betão,4-1-4-1,4-2-3-1,Emerson De Almeida Ferreira,Match Report,,avai,2021,18,4,
2021-07-25,20:30,Série B,Matchweek 14,Sun,Home,D,1,1,Brasil de Pelotas,51,,Betão,4-1-4-1,4-2-3-1,Rodolpho Toski Marques,Match Report,,avai,2021,14,3,
2021-07-28,19:00,Série B,Matchweek 5,Wed,Home,W,1,0,Remo,49,,Betão,4-2-3-1,4-1-4-1,Emerson Ricardo de Almeida Andrade,Match Report,,avai,2021,12,6,
2021-07-31,16:30,Série B,Matchweek 15,Sat,Away,D,0,0,Vitória,47,,Betão,4-1-4-1,4-2-3-1,Ivan da Silva Guimarães Jr.,Match Report,,avai,2021,6,2,
2021-08-07,19:00,Série B,Matchweek 16,Sat,Away,D,0,0,CSA,54,,Betão,4-1-4-1,4-2-3-1,Ricardo Marques Ribeiro,Match Report,,avai,2021,14,3,
2021-08-10,19:00,Série B,Matchweek 17,Tue,Home,L,0,1,Guarani,61,,Betão,4-2-3-1,4-2-3-1,Alexandre Vargas Tavares de Jesus,Match Report,,avai,2021,10,2,
2021-08-14,19:00,Série B,Matchweek 18,Sat,Home,W,2,0,Náutico,55,,Betão,4-3-3,4-2-3-1,Dyorgines José Padovani Andrade,Match Report,,avai,2021,12,4,
2021-08-17,21:30,Série B,Matchweek 19,Tue,Away,W,2,0,Sampaio Corrêa,45,,Betão,4-2-3-1,4-2-3-1,Antonio Dib Moraes de Sousa,Match Report,,avai,2021,15,5,
