player,nation,pos,age,mp,starts,min,90s,gls,ast,g+a,g-pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg+xag,prgc,prgp,prgr,gls.1,ast.1,g+a_90,g-pk_90,g+a-pk_90,xg_90,xag_90,xg+xag_90,npxg_90,npxg+xag_90,matches_90,team_name,season,team_id
Luca Zanimacchia,it ITA,"FW,MF",21.0,2,1,120.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,3.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.1,0.03,0.1,Matches,juventus,2019-2020,ERSNj2rU1juv
Gianluca Frabotta,it ITA,DF,20.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,juventus,2019-2020,ERSNj2rU1juv
Marco Olivieri,it ITA,FW,20.0,3,0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.14,0.14,Matches,juventus,2019-2020,ERSNj2rU1juv
Carlo Pinsoglio,it ITA,GK,29.0,1,0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,juventus,2019-2020,ERSNj2rU1juv
Daouda Peeters,be BEL,MF,20.0,1,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,juventus,2019-2020,ERSNj2rU1juv
Giacomo Vrioni,al ALB,FW,20.0,1,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.92,0.0,2.92,2.92,2.92,Matches,juventus,2019-2020,ERSNj2rU1juv
Pietro Beruatto,it ITA,"DF,MF",20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,juventus,2019-2020,ERSNj2rU1juv
Luca Coccolo,it ITA,DF,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,juventus,2019-2020,ERSNj2rU1juv
Wesley Gasolina,br BRA,MF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,juventus,2019-2020,ERSNj2rU1juv
Han Kwang-song,kp PRK,FW,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,juventus,2019-2020,ERSNj2rU1juv
Mario Mandžukić,hr CRO,"FW,MF",33.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,juventus,2019-2020,ERSNj2rU1juv
Mattia Perin,it ITA,GK,26.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,juventus,2019-2020,ERSNj2rU1juv
Marko Pjaca,hr CRO,"FW,MF",24.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,juventus,2019-2020,ERSNj2rU1juv
Manolo Portanova,it ITA,"FW,MF",19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,juventus,2019-2020,ERSNj2rU1juv
Samir Handanović,si SVN,GK,35.0,35,35,3150.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,internazionale,2019-2020,QEreIqxRVint
Romelu Lukaku,be BEL,FW,26.0,36,33,2979.0,33.1,23.0,2.0,25.0,17.0,6.0,6.0,2.0,0.0,19.0,14.3,4.5,18.8,48.0,76.0,289.0,0.69,0.06,0.76,0.51,0.57,0.57,0.14,0.71,0.43,0.57,Matches,internazionale,2019-2020,QEreIqxRVint
Stefan de Vrij,nl NED,DF,27.0,34,32,2830.0,31.4,4.0,3.0,7.0,4.0,0.0,0.0,5.0,0.0,2.0,2.0,0.7,2.7,21.0,94.0,0.0,0.13,0.1,0.22,0.13,0.22,0.06,0.02,0.09,0.06,0.09,Matches,internazionale,2019-2020,QEreIqxRVint
Marcelo Brozović,hr CRO,MF,26.0,32,30,2701.0,30.0,3.0,6.0,9.0,3.0,0.0,0.0,9.0,0.0,3.2,3.2,2.8,5.9,47.0,240.0,40.0,0.1,0.2,0.3,0.1,0.3,0.11,0.09,0.2,0.11,0.2,Matches,internazionale,2019-2020,QEreIqxRVint
Milan Škriniar,sk SVK,DF,24.0,32,30,2627.0,29.2,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,1.0,0.5,1.5,32.0,152.0,13.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,Matches,internazionale,2019-2020,QEreIqxRVint
Lautaro Martínez,ar ARG,FW,21.0,35,29,2452.0,27.2,14.0,3.0,17.0,12.0,2.0,3.0,8.0,1.0,14.6,12.3,2.5,14.8,59.0,59.0,222.0,0.51,0.11,0.62,0.44,0.55,0.54,0.09,0.63,0.45,0.54,Matches,internazionale,2019-2020,QEreIqxRVint
Antonio Candreva,it ITA,DF,32.0,32,24,1993.0,22.1,5.0,7.0,12.0,5.0,0.0,0.0,5.0,0.0,2.3,2.3,5.3,7.6,80.0,104.0,221.0,0.23,0.32,0.54,0.23,0.54,0.1,0.24,0.34,0.1,0.34,Matches,internazionale,2019-2020,QEreIqxRVint
Nicolò Barella,it ITA,MF,22.0,27,23,2013.0,22.4,1.0,4.0,5.0,1.0,0.0,0.0,11.0,0.0,2.1,2.1,1.7,3.7,47.0,183.0,98.0,0.04,0.18,0.22,0.04,0.22,0.09,0.07,0.17,0.09,0.17,Matches,internazionale,2019-2020,QEreIqxRVint
Alessandro Bastoni,it ITA,DF,20.0,25,21,1921.0,21.3,2.0,0.0,2.0,2.0,0.0,0.0,9.0,1.0,1.3,1.3,0.7,2.0,50.0,107.0,24.0,0.09,0.0,0.09,0.09,0.09,0.06,0.03,0.09,0.06,0.09,Matches,internazionale,2019-2020,QEreIqxRVint
Roberto Gagliardini,it ITA,MF,25.0,24,21,1797.0,20.0,4.0,2.0,6.0,4.0,0.0,0.0,5.0,0.0,4.7,4.6,1.6,6.2,55.0,144.0,73.0,0.2,0.1,0.3,0.2,0.3,0.24,0.08,0.32,0.23,0.31,Matches,internazionale,2019-2020,QEreIqxRVint
Diego Godín,uy URU,DF,33.0,23,18,1628.0,18.1,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.9,0.9,1.0,1.9,32.0,101.0,8.0,0.06,0.06,0.11,0.06,0.11,0.05,0.05,0.1,0.05,0.1,Matches,internazionale,2019-2020,QEreIqxRVint
Cristiano Biraghi,it ITA,DF,26.0,26,18,1576.0,17.5,2.0,6.0,8.0,2.0,0.0,0.0,3.0,0.0,0.6,0.6,3.9,4.5,46.0,45.0,129.0,0.11,0.34,0.46,0.11,0.46,0.03,0.22,0.26,0.03,0.26,Matches,internazionale,2019-2020,QEreIqxRVint
Danilo D'Ambrosio,it ITA,DF,30.0,22,15,1402.0,15.6,4.0,0.0,4.0,4.0,0.0,0.0,6.0,0.0,1.7,1.7,0.9,2.6,21.0,67.0,67.0,0.26,0.0,0.26,0.26,0.26,0.11,0.05,0.16,0.11,0.16,Matches,internazionale,2019-2020,QEreIqxRVint
Matías Vecino,uy URU,MF,27.0,20,14,1282.0,14.2,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,3.5,3.5,1.1,4.6,27.0,61.0,87.0,0.14,0.14,0.28,0.14,0.28,0.24,0.08,0.32,0.24,0.32,Matches,internazionale,2019-2020,QEreIqxRVint
Ashley Young,eng ENG,DF,34.0,18,13,1185.0,13.2,4.0,4.0,8.0,4.0,0.0,0.0,1.0,0.0,0.9,0.9,3.3,4.2,34.0,54.0,89.0,0.3,0.3,0.61,0.3,0.61,0.07,0.25,0.32,0.07,0.32,Matches,internazionale,2019-2020,QEreIqxRVint
Alexis Sánchez,cl CHI,FW,30.0,22,10,923.0,10.3,4.0,8.0,12.0,3.0,1.0,1.0,4.0,1.0,4.3,3.5,3.2,6.7,22.0,62.0,95.0,0.39,0.78,1.17,0.29,1.07,0.42,0.31,0.73,0.35,0.66,Matches,internazionale,2019-2020,QEreIqxRVint
Borja Valero,es ESP,MF,34.0,19,9,931.0,10.3,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,1.8,1.8,1.3,3.1,31.0,68.0,35.0,0.19,0.0,0.19,0.19,0.19,0.18,0.13,0.3,0.18,0.3,Matches,internazionale,2019-2020,QEreIqxRVint
Stefano Sensi,it ITA,MF,23.0,12,9,723.0,8.0,3.0,2.0,5.0,3.0,0.0,0.0,2.0,0.0,1.4,1.4,1.7,3.1,22.0,59.0,74.0,0.37,0.25,0.62,0.37,0.62,0.17,0.21,0.39,0.17,0.39,Matches,internazionale,2019-2020,QEreIqxRVint
Christian Eriksen,dk DEN,MF,27.0,17,8,703.0,7.8,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.8,4.9,19.0,52.0,45.0,0.13,0.26,0.38,0.13,0.38,0.26,0.36,0.62,0.26,0.62,Matches,internazionale,2019-2020,QEreIqxRVint
Kwadwo Asamoah,gh GHA,"DF,FW",30.0,8,7,639.0,7.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.4,0.5,25.0,26.0,54.0,0.0,0.14,0.14,0.0,0.14,0.02,0.05,0.07,0.02,0.07,Matches,internazionale,2019-2020,QEreIqxRVint
Andrea Ranocchia,it ITA,DF,31.0,7,5,526.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,0.0,0.6,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.01,0.1,0.09,0.1,Matches,internazionale,2019-2020,QEreIqxRVint
Victor Moses,ng NGA,DF,28.0,12,4,420.0,4.7,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,2.0,2.2,39.0,25.0,61.0,0.0,0.64,0.64,0.0,0.64,0.05,0.42,0.47,0.05,0.47,Matches,internazionale,2019-2020,QEreIqxRVint
Valentino Lazaro,at AUT,DF,23.0,6,3,323.0,3.6,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,1.4,1.5,11.0,14.0,32.0,0.0,0.28,0.28,0.0,0.28,0.03,0.39,0.42,0.03,0.42,Matches,internazionale,2019-2020,QEreIqxRVint
Daniele Padelli,it ITA,GK,33.0,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,internazionale,2019-2020,QEreIqxRVint
Matteo Politano,it ITA,"FW,MF",25.0,11,2,259.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,1.4,22.0,3.0,29.0,0.0,0.0,0.0,0.0,0.0,0.23,0.26,0.49,0.23,0.49,Matches,internazionale,2019-2020,QEreIqxRVint
Sebastiano Esposito,it ITA,FW,17.0,7,2,199.0,2.2,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.8,1.0,0.1,1.1,2.0,5.0,19.0,0.45,0.0,0.45,0.0,0.0,0.81,0.06,0.87,0.45,0.52,Matches,internazionale,2019-2020,QEreIqxRVint
Lucien Agoume,fr FRA,MF,17.0,3,0,68.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,1.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.11,Matches,internazionale,2019-2020,QEreIqxRVint
Federico Dimarco,it ITA,DF,21.0,3,0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.11,Matches,internazionale,2019-2020,QEreIqxRVint
Lorenzo Pirola,it ITA,DF,17.0,1,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,internazionale,2019-2020,QEreIqxRVint
Tommaso Berni,it ITA,GK,36.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,Matches,internazionale,2019-2020,QEreIqxRVint
Matias Fonseca,uy URU,FW,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,internazionale,2019-2020,QEreIqxRVint
Dalbert Henrique,br BRA,"DF,MF",25.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,internazionale,2019-2020,QEreIqxRVint
Filip Stankovic,rs SRB,GK,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,internazionale,2019-2020,QEreIqxRVint
Edoardo Vergani,it ITA,FW,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,internazionale,2019-2020,QEreIqxRVint
Papu Gómez,ar ARG,"MF,FW",31.0,36,34,2842.0,31.6,7.0,16.0,23.0,7.0,0.0,0.0,2.0,0.0,7.8,7.8,9.9,17.6,241.0,276.0,203.0,0.22,0.51,0.73,0.22,0.73,0.25,0.31,0.56,0.25,0.56,Matches,atalanta,2019-2020,xI2zziue7ata
Pierluigi Gollini,it ITA,GK,24.0,33,33,2884.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,atalanta,2019-2020,xI2zziue7ata
Berat Djimsiti,al ALB,DF,26.0,34,32,2783.0,30.9,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,2.0,2.0,1.1,3.2,13.0,93.0,36.0,0.06,0.03,0.1,0.06,0.1,0.07,0.04,0.1,0.07,0.1,Matches,atalanta,2019-2020,xI2zziue7ata
Robin Gosens,de GER,DF,25.0,34,31,2617.0,29.1,9.0,7.0,16.0,9.0,0.0,0.0,3.0,0.0,5.9,5.9,3.8,9.7,90.0,125.0,198.0,0.31,0.24,0.55,0.31,0.55,0.2,0.13,0.33,0.2,0.33,Matches,atalanta,2019-2020,xI2zziue7ata
Mario Pašalić,hr CRO,MF,24.0,35,30,2417.0,26.9,9.0,5.0,14.0,9.0,0.0,0.0,6.0,0.0,9.5,9.5,3.9,13.3,50.0,176.0,88.0,0.34,0.19,0.52,0.34,0.52,0.35,0.14,0.5,0.35,0.5,Matches,atalanta,2019-2020,xI2zziue7ata
Marten de Roon,nl NED,"MF,DF",28.0,35,29,2721.0,30.2,2.0,5.0,7.0,2.0,0.0,0.0,12.0,0.0,1.2,1.2,1.8,3.0,36.0,211.0,46.0,0.07,0.17,0.23,0.07,0.23,0.04,0.06,0.1,0.04,0.1,Matches,atalanta,2019-2020,xI2zziue7ata
Rafael Tolói,it ITA,DF,28.0,33,29,2608.0,29.0,2.0,6.0,8.0,2.0,0.0,0.0,11.0,0.0,3.1,3.1,2.3,5.4,36.0,166.0,38.0,0.07,0.21,0.28,0.07,0.28,0.11,0.08,0.19,0.11,0.19,Matches,atalanta,2019-2020,xI2zziue7ata
José Luis Palomino,ar ARG,DF,29.0,30,28,2480.0,27.6,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,3.2,3.2,1.4,4.6,9.0,77.0,8.0,0.07,0.04,0.11,0.07,0.11,0.12,0.05,0.17,0.12,0.17,Matches,atalanta,2019-2020,xI2zziue7ata
Remo Freuler,ch SUI,MF,27.0,31,28,2337.0,26.0,2.0,2.0,4.0,2.0,0.0,0.0,3.0,0.0,1.6,1.6,2.5,4.2,54.0,172.0,60.0,0.08,0.08,0.15,0.08,0.15,0.06,0.1,0.16,0.06,0.16,Matches,atalanta,2019-2020,xI2zziue7ata
Hans Hateboer,nl NED,DF,25.0,32,25,2356.0,26.2,0.0,4.0,4.0,0.0,0.0,0.0,10.0,0.0,2.3,2.3,4.5,6.8,81.0,70.0,216.0,0.0,0.15,0.15,0.0,0.15,0.09,0.17,0.26,0.09,0.26,Matches,atalanta,2019-2020,xI2zziue7ata
Duván Zapata,co COL,FW,28.0,28,25,2026.0,22.5,18.0,6.0,24.0,17.0,1.0,1.0,1.0,0.0,15.6,14.8,5.7,20.5,52.0,43.0,247.0,0.8,0.27,1.07,0.76,1.02,0.69,0.25,0.94,0.66,0.91,Matches,atalanta,2019-2020,xI2zziue7ata
Josip Iličić,si SVN,"FW,MF",31.0,26,21,1663.0,18.5,15.0,5.0,20.0,15.0,0.0,0.0,1.0,1.0,10.2,10.2,7.6,17.8,108.0,130.0,195.0,0.81,0.27,1.08,0.81,1.08,0.55,0.41,0.96,0.55,0.96,Matches,atalanta,2019-2020,xI2zziue7ata
Timothy Castagne,be BEL,DF,23.0,27,19,1769.0,19.7,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,2.0,2.0,2.2,4.2,41.0,68.0,154.0,0.05,0.1,0.15,0.05,0.15,0.1,0.11,0.21,0.1,0.21,Matches,atalanta,2019-2020,xI2zziue7ata
Ruslan Malinovskyi,ua UKR,"MF,FW",26.0,34,12,1535.0,17.1,8.0,3.0,11.0,8.0,0.0,1.0,7.0,1.0,4.4,3.6,5.0,8.6,66.0,124.0,108.0,0.47,0.18,0.64,0.47,0.64,0.26,0.29,0.55,0.21,0.5,Matches,atalanta,2019-2020,xI2zziue7ata
Mattia Caldara,it ITA,DF,25.0,14,11,959.0,10.7,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.4,0.7,3.0,16.0,2.0,0.0,0.09,0.09,0.0,0.09,0.03,0.04,0.06,0.03,0.06,Matches,atalanta,2019-2020,xI2zziue7ata
Luis Muriel,co COL,FW,28.0,34,10,1260.0,14.0,18.0,1.0,19.0,12.0,6.0,7.0,1.0,0.0,12.7,7.2,5.4,12.6,67.0,55.0,175.0,1.29,0.07,1.36,0.86,0.93,0.91,0.39,1.3,0.51,0.9,Matches,atalanta,2019-2020,xI2zziue7ata
Andrea Masiello,it ITA,DF,33.0,7,7,543.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,2.0,15.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,atalanta,2019-2020,xI2zziue7ata
Marco Sportiello,it ITA,GK,27.0,6,5,525.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,atalanta,2019-2020,xI2zziue7ata
Simon Kjær,dk DEN,DF,30.0,5,3,292.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,atalanta,2019-2020,xI2zziue7ata
